consuming_tx_hash,input_tx_out_id,input_created_in_tx,input_out_index,input_lovelace,input_ada,input_address,address_role
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5120904,785ce7052c0385a3a97ced40cd9d305af393688121e75a0178198be4b037021a,0,1254234159,1254.234159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5121436,df87096849373130fe5d1679c91e226163bc18c9a7d1245fc9c5460c1f56325e,0,500099833984,500099.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5129303,379d3160aff59cf00c3a93b179c5818f12393da0095834d559d6058c51ebc26f,0,5276240603,5276.240603,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5136030,bee9a93cad7acb5b4eb3749dae5d80da1e652644c37f55f50cb6869b1a5b73ff,0,1159330851,1159.330851,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5136763,173b20192d0d15ebdf6acd710c82158990b7b1bc687736f34986447bad50e7be,0,4638267330,4638.267330,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5139772,2e5f60ad605f28f9af6e4203a818985ccaee3f2ca652908451b0107a5aab91aa,0,4453658431,4453.658431,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5140317,6c79a68fd4d0d7a720605a98a4a30a390ca73024a7ee48d39d8e5682417e911a,0,6480345984,6480.345984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5143602,d21ce530844c30adfaa2e70c50dd2e4d54e8b71fb465d2d9d7320de97972f0d9,0,2501792885,2501.792885,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5144645,de405b0a51c2e6c5d006469bdba22169852badb32a2be590314e64c3a5c7e9b4,0,3925834159,3925.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5148049,59e2f5d0165c4482a9cf8975a7723ce031c8578c773603f59ca1ca5d90440c19,0,199834159,199.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5151196,5f551c08d118b1d0afdfbd475a1697f8810e18c7172fe9340f6543efb43082b1,0,670162159,670.162159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5151613,1f875aad69659113a9e92240babbc67a7087f49939c8462ef80f7d0444bb54af,0,555277159,555.277159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5153158,853d3b795bc6c660afd05081c67943b348461a925a0d6683a462c174c2c53959,0,4000834159,4000.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5162572,a75d64b802a2b142ddbcc76fd7bd86f7cb1b252861e9edcb4a8b6d508b790af7,0,124234159,124.234159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5177685,e9dfbf181f8159f733fdec48c694ce38c6d701d6e05649f4992fa0dadda99467,0,1999834159,1999.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5178859,7112fdfb6e7613434b0823f2629ac144b3a81f60793431823330a8ab0f12f74a,0,19859786984,19859.786984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5180336,e5e7274b518f74eecaf0765ca87d03354c5b24a3a68cb74bfd9eaf93f5780f8b,0,234598159,234.598159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5184078,5de03167f4311b687154016702ae96854fd689767e1a0d3c6ff67facb933bbe3,0,25554246029,25554.246029,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
