consuming_tx_hash,epoch_no,block_time,iog_dest_ids_count,e2_dest_ids_count
e591726c02b58a933ee503332eb41d01d78cdcf1507ba897adb9643a6dc23e97,250,2021-02-28 12:34:22+00,120,24
2a024263af061cb0fb3a2c9ce5094175df0d1155ace7d0021244763e1fa65ddb,250,2021-02-26 16:55:08+00,30,30
69cb1d63f08605efedf15dd09bf9f27bc140bb193787cd44c878210e5b86d80c,250,2021-02-26 13:39:44+00,40,20
d79095203439f1edd2be93fe5f049337a70b737c122915cdf0124656b2a0261f,250,2021-02-26 16:39:27+00,104,26
83b0369fe1a0286ced96d12360dbe2628c95ede44b2071a6df4cb722187633e9,250,2021-02-28 09:17:05+00,10,10
c99a01b7a1f24c3640fa0ea3fc582a4e318513fbe5dc570a88ad75402479c89f,250,2021-02-26 08:29:39+00,48,16
254fe4a5eb1a7ea3a117fea01b496836bacf32b4b8ebfdae91bee3dd2da13d81,250,2021-02-27 09:26:06+00,30,60
1c78fdafeb05d0dabcd3eee16dc9c90ba908fa3eb0633f6dd009d4cc4f8be33b,250,2021-02-26 21:56:29+00,30,30
661db09e982c63ebb7b010eda61ce36c3f1bd7f040d2d7a348ae03e1053c3735,250,2021-02-25 20:52:26+00,20,20
e192abbdfe21932647a4a38725e4333a7fbc0aad622503afc6cf650cfa7d9794,250,2021-02-27 16:02:41+00,2,4
f062f77062069d725dab27c2c8a2524c16d45013cbd84671a73d31be8d9f64ee,250,2021-02-28 22:00:31+00,4,2
8695f63316e02747949de0c1f7b5d8f57b5ce5e02f41d1f185ac420a1d625caa,250,2021-02-28 11:45:36+00,14,14
7e572d9cf963f561f7f6f846fc44a689205f47dd2deeb691b4fa0a1cbebd6639,250,2021-02-25 11:23:26+00,8,8
013688c2632f4947cdee7f393edd8576589de79be16b20daa89eae925b7d4b4b,250,2021-02-28 04:59:48+00,60,30
66d4a0202074080df69d3749074bad7c4baacac98270062e8aaf944043a645db,250,2021-02-26 03:37:41+00,6,6
571f776c0698c576ddecae145f97e7f284b82ebea70fbc924fa4e2a4a6258020,250,2021-02-25 12:58:28+00,6,3
6655aa158522ebd9d015f0f96abf17d67d1e97831650280650c6e5514a3379a1,250,2021-03-01 11:44:51+00,54,54
63d016a5bd29e09059c6a14d4a703aef4f3fc8fa1eaac4c0ac14317d085559ce,250,2021-03-01 14:43:22+00,20,20
3cc74179672c5a2d011337272d7a07b9feed066dd23330368495ed269bdffa97,250,2021-02-26 20:19:45+00,120,30
ffdf617ee9625672a18722a53915f171b1ff7985fb0109a1c4a5103af02ef03c,250,2021-03-01 06:40:30+00,14,14
913e59aff1c5795fdf478d106e8daecc77ac080a0e296178584fa2921fd01bd4,250,2021-02-25 20:00:47+00,14,14
a9773974d36b056989b087b1ffa7c1bd3b85b0dca490e76bb5cfef4e42cc303c,250,2021-02-28 13:02:56+00,2,2
d3d613fd4b832ae5567ca470c223d3281c91b47d6238d5686ff03681ccd5b176,250,2021-03-01 00:40:18+00,30,60
a8a61002dbc1096dc666a4e04b5200882890061ccd2efe6000798d75cc7c738d,250,2021-02-27 05:51:49+00,30,30
69652e58c3c2d46e58ae6d85e136840ce14cfcf61097cc8ae60946feba15af4e,250,2021-03-01 04:00:32+00,2,2
e0a42f8715b3be0222d3c707966359f742d37839aaf598f5160db4720ffcc2ce,250,2021-02-28 20:04:22+00,30,30
7fdcd83bda8bdcaa9379aac33f84a2812e77d8bdca78b021ebb2bdea8d7a9937,250,2021-02-28 07:38:28+00,20,20
35b4bc0efb1ee63d14b0cd36a42aa1a8e7294cd812b528c64e771e2ed6dd7cf6,250,2021-02-26 21:03:34+00,30,30
7e405e0b97b2d94b201308b5510112e7c75a2620c5f05c19f3a0377cb12950e0,251,2021-03-03 22:01:37+00,2,2
f40bfda3db9776deb498c152639e224882d121e99fca7bb688e64f418e02faf2,251,2021-03-02 08:40:24+00,2,2
8f8d0b90a5a4da4c3306470a5c7db5fef709c8ddc116ca1ab1a2814cefe3a6dd,251,2021-03-04 10:14:15+00,2,2
2e4f46019e33fee90edea8216fdff6862578abbaf5b82dd746d0b57263e4de77,251,2021-03-02 18:01:10+00,2,2
cd1b41b110634bab1498b6caf0e25b7103bbd9cc0cc2982a46838d74e85804fa,251,2021-03-04 21:00:22+00,2,4
967afeb7f2fc3962193e4262a885498c8134cac8f6f2e587969eaa5a7436c1f1,251,2021-03-05 04:02:08+00,2,2
1823dc12d67c643b94f929ecae1f9d1ee6e589a5bcae2972a465d03b0646c1dd,251,2021-03-05 07:30:24+00,2,2
3b960aa1326649aeeecb1bebd01e06068000271cebb23ead021415d32cfb9635,251,2021-03-04 16:09:30+00,20,20
ce08f4791169e6edf4a1616cbb0eeaaa2aee295144e3fb5fde7cd844b581837c,251,2021-03-02 00:00:21+00,2,2
ae455b226784c3d567a5ad86719c829f8e696a6ae8f157166a8123dccf944a97,251,2021-03-03 14:26:55+00,18,18
fa7d3e71802ea5faa0099d782647f782c4d02dc9c4b46e90542dd82c0882fdef,251,2021-03-02 20:04:40+00,30,30
a6071400e9d88c9b325b4bbb8cd5f0afe6260cec350e1c5e224118a6a96e4c63,251,2021-03-01 23:23:29+00,16,16
a6a25d220841320c9b9ecb8c396dfa0dd52775fd66e8583c86881b8311c00de2,251,2021-03-02 03:22:42+00,30,30
a97fe9b52a52e4e0011bfe2f43333cebd137f7c255b76b8292403ba6ebd69ae0,251,2021-03-04 14:56:11+00,2,2
460569fcd874881af27c757a526649480003507fe095510bce08f6552f28dc81,251,2021-03-02 04:12:55+00,2,2
5e9e82c450d4f10d4b6d640945ced3ad053b372398ca88670f66bb3ec228c713,251,2021-03-03 08:44:15+00,10,10
c7a685384dacf404d2b11c97f535af6fe77938621a681d6deffa3278f647ebfb,251,2021-03-05 07:05:14+00,2,2
a0fc3a6d07fb1368c734ed6a5f0bf782d0dc9038732e44097845af95102fcea8,251,2021-03-06 08:41:15+00,12,60
e4ba16f4005336cc9bb29475cd0d27a1a0b325267e47ae2c75c1b00885ca0daa,251,2021-03-02 17:34:06+00,24,24
b190ec4caae095b88c5b7b5563cddcf9f2480e651a2280685864f6c398316433,251,2021-03-05 12:59:29+00,52,52
63d239b0a577d34f560e58e53a52ff1e27f79a834373a464844882834debfc56,251,2021-03-06 00:01:30+00,2,2
56afc08d17d18e673d649cd7e4f57843b18915fe9df2de18309f0c9ee420d1c3,251,2021-03-04 15:41:25+00,24,12
3d18c1136aa4e8304b807141b0ac4d91e6ba36f96227494673e0d0de1fbd2640,251,2021-03-04 16:59:13+00,14,14
087d945cb4058b4c3c8d90e4cefbcef8868c0b53df1c769099e77ff2d1b20881,251,2021-03-02 03:59:07+00,22,22
54113864058121a126b22acf74ef3167387e072b0ec6f85e3e6ef375a5eed771,251,2021-03-02 04:45:21+00,28,14
6f4fc3be74d7fc86c71fa95c270594de39904d9349836cfa44077994704277c2,251,2021-03-06 11:41:03+00,14,14
fabef6b84b34119ff9016ae518aaad1df5343a78d2e93812a2c457e5e9eafadc,251,2021-03-02 18:00:46+00,4,2
dc9173a20f7a22ceefd10905a7aca4141632301f35f7a99d3b7cd4bdc297fa03,251,2021-03-03 21:38:15+00,28,84
2f7d194d6ccaeb73b80a222f2b67467e72952bf9f0a7cecc0a218a956866c9ae,251,2021-03-03 01:20:17+00,22,44
04d480f4b46efb1db6b2e71abdad9e88f30b88e2b4d00299e98ff5dc9d063380,251,2021-03-03 01:57:09+00,20,20
5d948ad8dbfcf935a17f9acc7f9b15a5a01d63a70de7940346f6b190f3225925,251,2021-03-03 08:37:13+00,32,48
aeb2dfc801c5d4110396bcc6f0bea8c887a14fac30bc9d79a943992d8d3e9bb2,251,2021-03-06 17:45:56+00,32,16
fda661efb9e71294fcb2c2ea5cdc11d5a518c6c4bc68b885b8a7e8a8d782e024,251,2021-03-04 13:25:13+00,24,16
c53401617e4e7ba937c4ebfbd845b1949891d63654cfc5fba2931ac8255bc14f,251,2021-03-02 10:29:21+00,10,10
05bed01e9fe062823376e7fabc442f298f8c0a450a58e730222f71fd95e5b45e,251,2021-03-05 08:02:33+00,2,2
c5d9f29659f2bfff5d5410b771cd2cd6701bf744dcb9da30309e376e9492aabc,252,2021-03-10 00:46:18+00,16,16
0cea4c851e078c2be6437c048a54f305728081e51a8da8d46443e0c460fb6964,252,2021-03-10 13:24:04+00,18,36
77fa876699a542366c599dee3f052d192e3cad70cc27de5ab13534425d4f1bcb,252,2021-03-09 14:50:32+00,6,6
802fb995a3e7ebf7d0ace1642ce9189a059c0d233d4c3a006bc29aa474ee1c4d,252,2021-03-11 20:29:09+00,30,30
88cbf14cc7b58d4a569b04b54f410a2f6996def27820d5eb52ecacb6e1fdf79d,252,2021-03-09 19:30:27+00,24,24
7c58e178d738b686e03424b2a0dcbe51f034c8043d59f16639755b7e7533bcd5,252,2021-03-08 14:00:26+00,4,2
