dest_address,rows,total_lovelace,largest_single_lovelace,first_epoch,last_epoch,label,category,confidence,source,total_ada,largest_single_ada
addr1wylz559hq9khw9hn7sqg5rl8g0jcg6d9jsqnrzpanefyh0s2glggg,1,424786000000,424786000000,432,432,,,,,424786.0,424786.0
addr1w989dk8syavsszshrecdar5jc4wxhpeahm7c9jrtnfyxgkc93m799,1,422551000000,422551000000,309,309,,,,,422551.0,422551.0
addr1wy7rzfzqzwhhwel2j8mqlcsam22ytvqv4z796js5lxxd04g5rsg9y,1,421937000000,421937000000,432,432,,,,,421937.0,421937.0
addr1wym866j8wu7032pupgxvdvfdkrnnrtsxlsf0g7aps2zq22szwjrqw,1,419261000000,419261000000,396,396,,,,,419261.0,419261.0
addr1w9qn4w9jj7app443re5lkzun8cc6m9c78vkjdl9z05mqzwgxc3cxj,1,418710000000,418710000000,411,411,,,,,418710.0,418710.0
addr1w8pkxp9f07dcywfdfr7eeegd4cwe6n3grejl68q783rm9eqrshs0l,1,417627000000,417627000000,390,390,,,,,417627.0,417627.0
addr1vywm8egs68x5kns0t4qj7vttm7mut05grs2wmwlmqljahegphndwc,1,417624000000,417624000000,422,422,,,,,417624.0,417624.0
addr1wxusgxnh798vxqc08y09xhwesgtpdwch0908xqf40ydlqrg8pd35c,1,417624000000,417624000000,369,369,,,,,417624.0,417624.0
addr1wxclr3e3qkukduux6slxvhky86gjh256xjrncg5arf8krage8c24y,1,416876000000,416876000000,422,422,,,,,416876.0,416876.0
addr1w99ehfx4dzkt98ep8tvd4gfflwk08fn22j3yk35hxpmn0usqq5d09,1,416549000000,416549000000,380,380,,,,,416549.0,416549.0
addr1w9yyes7tnat5cmfdweuz9hqnl50e90dhuw2artnrsw0wnecqhd5zm,1,412710000000,412710000000,390,390,,,,,412710.0,412710.0
addr1w8hn4pgf9hnnl9waceyy8h0v0juk9p4jy6yjg9787xwsymgh0hptl,1,412197000000,412197000000,433,433,,,,,412197.0,412197.0
addr1wytxv8u2lpf97hrkcnfuxyapl58nfp0tascvms0zgg2q2ksdjzmhu,1,411075000000,411075000000,473,473,,,,,411075.0,411075.0
addr1w8tl9jyp4cp7tpwxvrsmanpkphzaysm8h8v7r6p468ngv4q5g4zg0,1,407550000000,407550000000,499,499,,,,,407550.0,407550.0
addr1w8rv0h094fffv054tgsccu9lfjf46zeuwryle6lxk05kuhg4jsxsc,1,407459000000,407459000000,403,403,,,,,407459.0,407459.0
addr1wx99l5vuf4f9pltur0njlchujdfpv8a4q9zq69wmah5augqeklha5,1,396475000000,396475000000,432,432,,,,,396475.0,396475.0
addr1w8a4au84jnmres4x87enc0d05fyrykhf3hpc066kj30h0xq9yrt5u,1,393563000000,393563000000,390,390,,,,,393563.0,393563.0
addr1w8f54klegmh5xkcwgl94p49dczwhp0lqqrc67pssadsf36g6czcr8,1,390798000000,390798000000,422,422,,,,,390798.0,390798.0
addr1w8p8l8dn7lfpzz9fptvmkckcty5eapttq5szdzmglvauutsel8xlc,1,388075000000,388075000000,442,442,,,,,388075.0,388075.0
addr1w9n6mn90rweg2va2nde9f2m6tst439zj8k45vqkpgnde25qvxjsmj,1,386117000000,386117000000,437,437,,,,,386117.0,386117.0
addr1w8gyhzcj2fglymea95tgpvqvgp44sqwclcqv45wpwrrduzc9dp9gt,1,385499000000,385499000000,468,468,,,,,385499.0,385499.0
addr1w9s52c6u75wk3ywrycx5lff7fvnrm4cfr3c0nvgrj8kl7mcgv4xt6,1,385499000000,385499000000,470,470,,,,,385499.0,385499.0
