snapshot_utc,trace_schema,stake_address_id,stake_address,latest_drep_id_bech32,latest_drep_hash_id,latest_vote_epoch,behavior_class,behavior_score,behavior_flags,root_count,root_combo,current_utxos,current_lovelace,current_ada,min_depth,max_depth,output_block_count,same_block_event_count,max_same_block_stake_peers,same_epoch_drep_event_count,max_same_epoch_drep_stake_peers,voted_proposal_count
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,49029,stake1u9jekdlzl8au2pyn68hzver8xhm0cv8pgnv39w4tv3d85zgh944g2,drep_always_abstain,14,546,coordinated_like,7,same_epoch_drep_cohort;cross_root_current_cluster;current_drep_delegation,2,emurgo+iog,6,46681827509,46681.827509,14,14,1,0,1,1,4,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,393774,stake1u9xd6kljs4x6j36ggql6m8nyejzekfhrxe3s0y8zlcnaemq8t24se,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,6,45362937600,45362.9376,11,14,6,3,4,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,502069,stake1uyxfath0m86wyxa6npq5hxwndh9tq9qlm3ny3cu4x035fpgecfyg4,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,38407924064,38407.924064,11,13,2,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,78421,stake1uxla58cgl09dqtfh7p6ukt6rn4zfw5asw8drwt364tx8saqzgycmu,drep_always_abstain,14,556,coordinated_like,7,same_epoch_drep_cohort;cross_root_current_cluster;current_drep_delegation,2,emurgo+iog,14,37635346164,37635.346164,14,14,2,0,1,2,2,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,189701,stake1u8mgxykea8wyvvcl4r3sp0ltk3a87qr6c8c62rras60u2aqc4774l,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,6,35372185448,35372.185448,12,14,6,4,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,237620,stake1uyjk9qlj3q2scwlhpunxdp2dw92ycgr9cv09y5c7y8tkn3shcvfms,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1948,527,coordinated_like,7,same_block_hop;same_epoch_drep_cohort;current_drep_delegation;drep_has_proposal_votes,1,iog,4,34959830227,34959.830227,13,14,4,4,4,1,3,141
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,280611,stake1u9gwxpdlaqr7lywdmm9vuhjwdeq7ql8h8qumu6ev4ut2vnqthleqt,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,12,34869711817,34869.711817,13,14,12,8,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,280610,stake1uyzmkvndfchhzwe3n85hdjt993zg9gfvhkn3d28u5nz5aqc7w57vd,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,12,33362331750,33362.33175,12,14,12,7,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,597733,stake1ux6cqt00y46da3fd90wmul3yvzlmm5yvl22edg7f9cdk3fcdhkewg,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,4,33153232263,33153.232263,13,14,4,3,7,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,50071,stake1uxgslarceqp8f6x2t03z4c3lj2yz6zk8a67cn49g5s428kscdwdwy,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,32,32590773214,32590.773214,11,14,4,3,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,505336,stake1u8q24da3h028nfh6sar99c5lzkxwnsf744dynahc33dty5qfwegrs,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,4,32274490474,32274.490474,13,14,3,3,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,291583,stake1uxgglyg9q6z8n2xdxw7h7902mchd6rvzfjfzp4qqgj90k0cxh3t9f,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,591,coordinated_like,7,same_block_hop;same_epoch_drep_cohort;current_drep_delegation;drep_has_proposal_votes,1,iog,8,31503492285,31503.492285,12,14,8,4,2,3,13,124
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,315651,stake1uy00nxvcarqjym8edaptl22jcmu7gpau2gtyd2awtad7kkq8dnt3c,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,5,31450680082,31450.680082,12,14,5,4,5,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,215861,stake1u9pngs4ez5pgmlha02723ywrpwgdq20s0vxls9vsqftc45gydvnq6,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,521,coordinated_like,7,same_block_hop;same_epoch_drep_cohort;current_drep_delegation;drep_has_proposal_votes,1,iog,3,30248512950,30248.51295,13,14,3,2,2,2,5,119
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,612064,stake1u8rqdmx35v2gcz85vuutp54kj46lej7cwccq4c6u0pyeljq4nuuyh,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,30000000000,30000.0,12,14,2,2,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,1023841,stake1u829myu80qltm9h907eq5skt5v4rwkhfxyzf9dsuaxwe8lse2hxpv,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,29759862779,29759.862779,13,14,2,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,1017,stake1u9a23thjwm6nnxkr6rztdzjff2h5nyqu43yepsxdv89w74s4g2t9n,drep_always_abstain,14,521,coordinated_like,7,same_epoch_drep_cohort;cross_root_current_cluster;current_drep_delegation,2,emurgo+iog,7,26941732324,26941.732324,14,14,2,0,1,2,14,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,526454,stake1uymjt88teas5483evazrl7yk5g2cg9r3gqt6k8gnd3ux5eckhmdqa,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,26447900000,26447.9,13,14,2,2,4,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,527076,stake1uxxllwmfqaznve5udvn5dxwmuvfwsrhte7wer6teurr0w3c0yefs7,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,26438000000,26438.0,13,14,2,2,5,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,569375,stake1uxregjlpgavqnmfwejvrv6j0zarthlpphrugj8vy5sdlq9cs8u3nu,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,10,24685484709,24685.484709,12,14,10,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,361775,stake1u8h7m9y8kgmvqaphhl09sjgx9mhuqsnx2dx3j03hjgmzhqslzqjve,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,3,24001155376,24001.155376,13,14,3,2,4,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,555315,stake1u8csxr8upzuw9nzva2wevwdpzu9vc0a2xnnvu7jscpkttnslsxh9f,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,3,23855324863,23855.324863,13,14,3,2,5,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,311990,stake1u8hkutz4e76hvq4h75ha784ene3t5juhxq7m8ehsgv2scycnujup3,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,3,23852149720,23852.14972,12,14,3,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,527500,stake1u8e3z6u34hx53xdz8t859dkcng5qkfuhggj95mdnq0gug9s9m6c38,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,7,23843125419,23843.125419,12,14,3,2,10,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,305270,stake1uxyfva2400ehsel2pcfjsjjjyd8ldtm45rs32pqa398qjzqgrv8c6,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,9,23135972987,23135.972987,11,14,9,4,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,321349,stake1uyytqu455c57p3j9220k77uywl2whfjzyz7fykqeafgl32q4ha3fd,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,7,23081446510,23081.44651,13,14,7,3,4,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,182803,stake1uyxzdz44qz6putxqdrmkntvvw0kr0xhw77kepk8lega6klckahugc,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,5,22549060201,22549.060201,13,14,5,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,295061,stake1uyjyxsaq923t4xu28ewywl2huqwlemr8zqr5vywdq3n46lgpsfcxs,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,16,22162840078,22162.840078,11,14,16,3,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,523421,stake1u8xl5ysfalhpg7rnxe8hg7fj7rsn9a4drp9w3aazlvjdjcgchmldg,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,22145055739,22145.055739,13,14,2,2,5,0,0,0
