endpoint,endpoint_kind,target_host,target_port,resolved_ip,handshake_ok,failure,error_detail,rtt_ms,block_no,slots_behind_tip,at_tip,checked_at
ipv4:162.43.70.195,ipv4,162.43.70.195,6000,162.43.70.195,t,,,150.86,13865138,-14,t,2026-08-28 00:51:18+00
ipv4:162.43.71.205,ipv4,162.43.71.205,6000,162.43.71.205,t,,,149.98,13865138,-14,t,2026-08-28 00:51:18+00
ipv4:162.43.85.92,ipv4,162.43.85.92,6000,162.43.85.92,t,,,148.55,13695758,3467239,f,2026-08-28 00:51:18+00
ipv4:162.55.161.109,ipv4,162.55.161.109,6000,162.55.161.109,t,,,117.93,13865138,-14,t,2026-08-28 00:51:18+00
ipv4:162.55.216.102,ipv4,162.55.216.102,3001,162.55.216.102,t,,,118.61,13865138,-14,t,2026-08-28 00:51:19+00
ipv4:163.172.101.196,ipv4,163.172.101.196,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:32+00
ipv4:163.172.251.121,ipv4,163.172.251.121,3005,163.172.251.121,t,,,101.98,13865138,-14,t,2026-08-28 00:51:20+00
ipv4:164.68.105.244,ipv4,164.68.105.244,6000,164.68.105.244,t,,,110.9,13865138,-14,t,2026-08-28 00:51:21+00
ipv4:164.68.99.228,ipv4,164.68.99.228,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:19:32+00
ipv4:164.90.135.96,ipv4,164.90.135.96,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:33+00
ipv4:164.90.141.195,ipv4,164.90.141.195,4442,,f,refused,Connection refused,,,,f,2026-08-28 01:19:33+00
ipv4:164.90.141.255,ipv4,164.90.141.255,4441,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:33+00
ipv4:164.90.147.113,ipv4,164.90.147.113,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:33+00
ipv4:164.90.154.123,ipv4,164.90.154.123,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:35+00
ipv4:164.90.193.83,ipv4,164.90.193.83,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:36+00
ipv4:164.90.208.68,ipv4,164.90.208.68,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:37+00
ipv4:164.90.223.45,ipv4,164.90.223.45,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:37+00
ipv4:165.22.187.44,ipv4,165.22.187.44,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:37+00
ipv4:165.22.230.45,ipv4,165.22.230.45,3478,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:39+00
ipv4:165.22.232.242,ipv4,165.22.232.242,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:44+00
ipv4:165.22.238.231,ipv4,165.22.238.231,3001,165.22.238.231,t,,,60.53,13865138,-14,t,2026-08-28 00:51:24+00
ipv4:165.22.40.111,ipv4,165.22.40.111,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:44+00
ipv4:165.227.121.70,ipv4,165.227.121.70,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:45+00
ipv4:165.227.156.37,ipv4,165.227.156.37,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:19:45+00
ipv4:165.227.195.148,ipv4,165.227.195.148,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:19:45+00
ipv4:165.227.219.99,ipv4,165.227.219.99,6627,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:45+00
ipv4:165.227.225.255,ipv4,165.227.225.255,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:45+00
ipv4:165.227.5.210,ipv4,165.227.5.210,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:46+00
ipv4:165.227.75.180,ipv4,165.227.75.180,6000,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:19:46+00
ipv4:165.232.128.168,ipv4,165.232.128.168,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:46+00
ipv4:165.232.133.181,ipv4,165.232.133.181,6002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:48+00
ipv4:165.232.138.186,ipv4,165.232.138.186,3001,,f,refused,Connection refused,,,,f,2026-08-28 01:19:48+00
ipv4:165.232.143.58,ipv4,165.232.143.58,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:48+00
ipv4:165.232.146.185,ipv4,165.232.146.185,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:48+00
ipv4:165.232.152.212,ipv4,165.232.152.212,6001,,f,refused,Connection refused,,,,f,2026-08-28 01:19:50+00
ipv4:165.232.153.200,ipv4,165.232.153.200,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:50+00
ipv4:165.232.156.231,ipv4,165.232.156.231,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:54+00
ipv4:165.232.158.241,ipv4,165.232.158.241,5002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:00+00
ipv4:165.232.164.77,ipv4,165.232.164.77,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:12+00
ipv4:16.63.235.52,ipv4,16.63.235.52,3203,16.63.235.52,t,,,118.83,13695758,3467239,f,2026-08-28 00:51:31+00
ipv4:167.172.144.140,ipv4,167.172.144.140,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:12+00
ipv4:167.172.153.114,ipv4,167.172.153.114,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:12+00
ipv4:167.172.167.168,ipv4,167.172.167.168,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:13+00
ipv4:167.172.238.101,ipv4,167.172.238.101,6003,167.172.238.101,t,,,33.13,13865138,-14,t,2026-08-28 00:51:33+00
ipv4:167.172.31.19,ipv4,167.172.31.19,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:13+00
ipv4:167.172.41.150,ipv4,167.172.41.150,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:13+00
ipv4:167.172.54.83,ipv4,167.172.54.83,1988,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:13+00
ipv4:167.172.59.170,ipv4,167.172.59.170,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:15+00
ipv4:167.71.11.117,ipv4,167.71.11.117,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:16+00
ipv4:167.71.14.35,ipv4,167.71.14.35,3000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:17+00
ipv4:167.71.239.90,ipv4,167.71.239.90,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:17+00
