query_timestamp_utc,drep_distribution_epoch,epoch_stake_epoch,rank_overall,profile_class,drep_id_bech32,bucket_order,active_stake_bucket,current_delegator_count,active_stake_lovelace,active_stake_ada
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,6,1k-10k,510,1988608410102,1988608.410102
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,7,<1k,978,159295570363,159295.570363
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,8,0/no active stake,236,0,0.000000
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,2,10M-50M,2,21197305188452,21197305.188452
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,3,1M-10M,41,93373611409130,93373611.409130
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,4,100k-1M,226,68874944580514,68874944.580514
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,5,10k-100k,795,24132088786103,24132088.786103
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,6,1k-10k,1405,5027986558108,5027986.558108
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,7,<1k,4392,483807694305,483807.694305
2026-05-21 20:17:07.345255,632,633,8,system,drep_always_no_confidence,8,0/no active stake,3708,0,0.000000
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,2,10M-50M,1,12133818914764,12133818.914764
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,3,1M-10M,47,91826290477893,91826290.477893
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,4,100k-1M,229,65311291874389,65311291.874389
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,5,10k-100k,334,12742789811340,12742789.811340
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,6,1k-10k,269,1055085261541,1055085.261541
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,7,<1k,476,84766275134,84766.275134
2026-05-21 20:17:07.345255,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,8,0/no active stake,113,0,0.000000
2026-05-21 20:17:07.345255,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,3,1M-10M,17,30243907653118,30243907.653118
2026-05-21 20:17:07.345255,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,4,100k-1M,276,68178639609187,68178639.609187
2026-05-21 20:17:07.345255,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,5,10k-100k,1378,39302546889834,39302546.889834
2026-05-21 20:17:07.345255,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,6,1k-10k,2720,9439979505252,9439979.505252
2026-05-21 20:17:07.345255,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,7,<1k,3296,933579972405,933579.972405
2026-05-21 20:17:07.345255,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,8,0/no active stake,661,0,0.000000
