snapshot_utc,trace_schema,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,dedup_current_utxos,dedup_current_stake_credentials,dedup_current_lovelace,dedup_current_ada,trace_value_to_drep_power_ratio,min_depth,max_depth,root_overlap_summary
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx,1359,640,2344497132108,2344497.132108,weak_behavior_signal,1,1,354747049263,354747.049263,0.15131051,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,1937,640,92106939455581,92106939.455581,weak_behavior_signal,9,9,338591060803,338591.060803,0.00367606,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep18xca9pu8qgt254tug3l4r8ryvypfucnzcudlazcxc9nnzdtd0kp,245060,640,322369657213,322369.657213,trace_only,1,1,321557785527,321557.785527,0.99748155,12,12,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,weak_behavior_signal,142,142,295251301777,295251.301777,0.00132639,11,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,coordinated_like,54,54,250742250250,250742.25025,0.00103323,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,15340,640,89058100980099,89058100.980099,weak_behavior_signal,18,18,244146087416,244146.087416,0.00274142,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,44748,640,12760444186740,12760444.18674,weak_behavior_signal,40,40,188145348329,188145.348329,0.01474442,12,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_no_confidence,27,640,176605061827128,176605061.827128,trace_only,80,80,184850568814,184850.568814,0.00104669,11,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1948,640,432487134870637,432487134.870637,weak_behavior_signal,30,30,179749879430,179749.87943,0.00041562,12,14,cf; emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,coordinated_like,105,105,168695003991,168695.003991,0.00075785,11,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1xzmkqkcv3k2fm50uhz9n2a6nd0qgjj23ztpwmppktc0gvwgfd8j,233459,640,33262549958132,33262549.958132,probable_retained_like,70,70,162857738299,162857.738299,0.00489613,12,14,emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,5166,640,16436554543809,16436554.543809,weak_behavior_signal,11,11,159591457013,159591.457013,0.00970954,13,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1qgswagyfc60x0zhyxdz7df8e95avxmy8kp5jjzr9j7y4sn0xmcy,2894,640,2058256636804,2058256.636804,weak_behavior_signal,18,18,153639747078,153639.747078,0.07464557,12,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,278,,,,weak_behavior_signal,18,18,141634366613,141634.366613,,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,377,640,89601583317696,89601583.317696,probable_retained_like,3,3,137618304853,137618.304853,0.00153589,12,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,1570,640,89656586410219,89656586.410219,weak_behavior_signal,27,27,120561251047,120561.251047,0.0013447,12,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,763,640,71106551665260,71106551.66526,coordinated_like,4,4,116056573007,116056.573007,0.00163215,11,13,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,155,640,93575476629369,93575476.629369,weak_behavior_signal,35,35,112297971140,112297.97114,0.00120008,12,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,probable_retained_like,23,23,107786355496,107786.355496,0.00044415,12,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,763,640,71106551665260,71106551.66526,weak_behavior_signal,15,15,102393389182,102393.389182,0.00144,10,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep17r90fhh5r7vcx2dxsyj06dtfc5jph8l9k7f0zdqf7z002zj2ckn,28851,640,34421427000422,34421427.000422,weak_behavior_signal,2,2,102195186012,102195.186012,0.00296894,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep18c6dw0e6z9lx65f22zrzgl0z49j48k39ttxqk4q6h953utzepy5,790,640,28117314762727,28117314.762727,coordinated_like,3,3,99159549514,99159.549514,0.00352664,12,13,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,122071,640,159701968406964,159701968.406964,weak_behavior_signal,54,54,95931351886,95931.351886,0.00060069,11,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,640,595013768459950,595013768.45995,high_confidence_retained_like,67,67,89539812792,89539.812792,0.00015048,10,14,emurgo; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_no_confidence,27,640,176605061827128,176605061.827128,weak_behavior_signal,54,54,79151676947,79151.676947,0.00044818,10,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,1725,640,25236819571371,25236819.571371,weak_behavior_signal,6,6,77590392697,77590.392697,0.00307449,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep16f203ahsan44w8xh65myl2j4k0pf8y9dsqkracyqtvwhy74judz,12327,640,17396687478338,17396687.478338,weak_behavior_signal,8,8,74973881668,74973.881668,0.00430966,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,377,640,89601583317696,89601583.317696,coordinated_like,16,16,71056092568,71056.092568,0.00079302,13,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,963,640,28595840669390,28595840.66939,coordinated_like,14,14,69365817689,69365.817689,0.00242573,11,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,1,640,28768886892458,28768886.892458,weak_behavior_signal,18,18,68277096066,68277.096066,0.0023733,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1h95f0wrxasn0fwfajwe8jtjfdw5nd880d073wh2llvxk54rvnus,40411,640,4223833330418,4223833.330418,high_confidence_retained_like,25,25,65914241979,65914.241979,0.01560531,12,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1lw0n54ypc0pcqeptzwycpp0nk3c3wh62gnss79txgcdjgds4tvl,6771,640,5921612409391,5921612.409391,weak_behavior_signal,13,13,65040893808,65040.893808,0.01098365,12,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1phvyckc7tqqlftyxqvp9fjdgczac4swsc7ssj26h785uxhwx0tt,4895,640,51184099330170,51184099.33017,coordinated_like,48,48,64424378446,64424.378446,0.00125868,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1948,640,432487134870637,432487134.870637,coordinated_like,23,23,63708360671,63708.360671,0.00014731,11,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,high_confidence_retained_like,15,15,60772692645,60772.692645,0.00025043,11,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,640,134663122023465,134663122.023465,weak_behavior_signal,12,12,59580513671,59580.513671,0.00044244,12,14,iog
