snapshot_utc,trace_schema,latest_pool_id_bech32,ticker_name,latest_drep_id_bech32,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh,BRADA,NO_DREP_DELEGATION,84,57,178436735247,178436.735247
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,NO_DREP_DELEGATION,93,57,176842906375,176842.906375
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex,MASTR,NO_DREP_DELEGATION,42,29,175581405134,175581.405134
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1c89d4drtwn0048mekkdkzllz559ahnntxelyw2mppxnmc36hjlx,CLIO1,NO_DREP_DELEGATION,36,21,174146963315,174146.963315
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ctzja2cdwyeqnvehmrlclc5wrn9w9acwklk3acn73jrx56d66vs,OCEA2,NO_DREP_DELEGATION,54,33,173699044658,173699.044658
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,NO_DREP_DELEGATION,101,66,165258817372,165258.817372
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xru6f3fflzwkptgm68pncrsncg9ngllv0jk8jnz40m7wusfhazk,OASIS,NO_DREP_DELEGATION,52,35,163765788951,163765.788951
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,,NO_DREP_DELEGATION,47,30,163173559518,163173.559518
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1l6aeyn35nkqkn9lqqlwqnpraakdzuukjrqprcrj3sctk6hhe32k,OYSTR,NO_DREP_DELEGATION,53,25,158957475607,158957.475607
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1jqw9cv37w0eewvdr36w2kacd2w9wh5uwm2y3vmc0fmdfc0ax26l,LIX,NO_DREP_DELEGATION,53,34,158861095236,158861.095236
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1vs689gkmqtrljtmcwd2690nzqm2yyq23wk2zzx5g0v0gs5ug64a,,drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,5,2,157997000000,157997.0
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1vh4y864hcq2r66ak37w4dsnkhnsfxaaacs0p5s4vj5676m6txwm,HOPE,NO_DREP_DELEGATION,57,37,157364770209,157364.770209
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1x0qm7xsyh2za3ltprxsgael544je4hg8tc3q3v5gv232z8jt4wp,PPCX1,NO_DREP_DELEGATION,124,80,156927464667,156927.464667
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,SNAKE,drep_always_abstain,17,6,156628157137,156628.157137
