snapshot_utc,trace_schema,root_seed_id,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,current_trace_rows,current_utxos,current_stake_credentials,current_lovelace,current_ada,min_depth,max_depth
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,763,640,71106551665260,71106551.66526,coordinated_like,4,4,1,116056573007,116056.573007,11,13
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,155,640,93575476629369,93575476.629369,weak_behavior_signal,35,35,24,112297971140,112297.97114,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,probable_retained_like,23,23,2,107786355496,107786.355496,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,1570,640,89656586410219,89656586.410219,weak_behavior_signal,14,14,8,104998693344,104998.693344,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,763,640,71106551665260,71106551.66526,weak_behavior_signal,15,15,8,102393389182,102393.389182,10,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep17r90fhh5r7vcx2dxsyj06dtfc5jph8l9k7f0zdqf7z002zj2ckn,28851,640,34421427000422,34421427.000422,weak_behavior_signal,2,2,1,102195186012,102195.186012,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep18c6dw0e6z9lx65f22zrzgl0z49j48k39ttxqk4q6h953utzepy5,790,640,28117314762727,28117314.762727,coordinated_like,3,3,1,99159549514,99159.549514,12,13
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,122071,640,159701968406964,159701968.406964,weak_behavior_signal,54,54,42,95931351886,95931.351886,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_no_confidence,27,640,176605061827128,176605061.827128,weak_behavior_signal,54,54,38,79151676947,79151.676947,10,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,1725,640,25236819571371,25236819.571371,weak_behavior_signal,6,6,3,77590392697,77590.392697,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep16f203ahsan44w8xh65myl2j4k0pf8y9dsqkracyqtvwhy74judz,12327,640,17396687478338,17396687.478338,weak_behavior_signal,8,8,3,74973881668,74973.881668,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,963,640,28595840669390,28595840.66939,coordinated_like,14,14,2,69365817689,69365.817689,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,1,640,28768886892458,28768886.892458,weak_behavior_signal,18,18,13,68277096066,68277.096066,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1h95f0wrxasn0fwfajwe8jtjfdw5nd880d073wh2llvxk54rvnus,40411,640,4223833330418,4223833.330418,high_confidence_retained_like,25,25,3,65914241979,65914.241979,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1phvyckc7tqqlftyxqvp9fjdgczac4swsc7ssj26h785uxhwx0tt,4895,640,51184099330170,51184099.33017,coordinated_like,48,48,2,64424378446,64424.378446,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1948,640,432487134870637,432487134.870637,coordinated_like,23,23,10,63708360671,63708.360671,11,14
