query_timestamp_utc,drep_distribution_epoch,epoch_stake_epoch,rank_overall,profile_class,drep_id_bech32,age_bucket_order,latest_vote_epoch_bucket,current_delegator_count,active_stake_lovelace,active_stake_ada
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,1,<=520,966,19125741696811,19125741.696811
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,2,521-540,4723,92095123557749,92095123.557749
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,3,541-560,1664,29906419675200,29906419.675200
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,4,561-580,1445,16340723566767,16340723.566767
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,5,581-600,1101,40090840498446,40090840.498446
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,6,601-620,345,5453452533421,5453452.533421
2026-05-21 20:17:10.967666,632,633,8,system,drep_always_no_confidence,7,621+,325,10077442688218,10077442.688218
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,1,<=520,222,30684655565173,30684655.565173
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,2,521-540,559,84047114257148,84047114.257148
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,3,541-560,192,14892523495075,14892523.495075
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,4,561-580,262,37921345891808,37921345.891808
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,5,581-600,147,11463013615905,11463013.615905
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,6,601-620,55,1735313522891,1735313.522891
2026-05-21 20:17:10.967666,632,633,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,7,621+,32,2410076267061,2410076.267061
2026-05-21 20:17:10.967666,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,4,561-580,22,41475319427,41475.319427
2026-05-21 20:17:10.967666,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,5,581-600,2323,47447999403749,47447999.403749
2026-05-21 20:17:10.967666,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,6,601-620,4602,78086145523673,78086145.523673
2026-05-21 20:17:10.967666,632,633,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,7,621+,1401,22523033382947,22523033.382947
