query_timestamp_utc,drep_distribution_epoch,rank_overall,profile_class,drep_id_bech32,root_seed_id,ever_trace_stake_credentials,latest_still_this_drep,latest_moved_away,latest_unknown,latest_still_ratio,current_lovelace_latest_still,current_ada_latest_still,current_lovelace_moved_away,current_ada_moved_away
2026-05-21 20:17:02.929505,632,4,registered,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,emurgo,0,0,0,0,,0,0.000000,0,0.000000
2026-05-21 20:17:02.929505,632,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,emurgo,0,0,0,0,,0,0.000000,0,0.000000
2026-05-21 20:17:02.929505,632,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,emurgo,26,20,6,0,0.7692307692307692307692307692,584782119016,584782.119016,601623441697,601623.441697
2026-05-21 20:17:02.929505,632,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,emurgo,21,21,0,0,1,881495278822,881495.278822,0,0.000000
2026-05-21 20:17:02.929505,632,8,system,drep_always_no_confidence,emurgo,37,32,5,0,0.8648648648648648648648648649,772089669411,772089.669411,2211684531781,2211684.531781
2026-05-21 20:17:02.929505,632,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,emurgo,13,13,0,0,1,1910074454064,1910074.454064,0,0.000000
2026-05-21 20:17:02.929505,632,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,emurgo,1,1,0,0,1,16191837501,16191.837501,0,0.000000
2026-05-21 20:17:02.929505,632,1,system,drep_always_abstain,fourth_entry_781m,599,563,36,0,0.9398998330550918196994991653,29027454388596,29027454.388596,8030434154309,8030434.154309
2026-05-21 20:17:02.929505,632,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,fourth_entry_781m,85,82,3,0,0.9647058823529411764705882353,3065840190700,3065840.190700,274593117887,274593.117887
2026-05-21 20:17:02.929505,632,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,fourth_entry_781m,10,7,3,0,0.7,3746842895353,3746842.895353,265013598335,265013.598335
