source_tip_block,source_tip_epoch,source_tip_time_utc,seed_label,seed_tx_hash,depth,hop_tx_hash,hop_time_utc,dominant_input_lovelace,source_type,dominant_source,source_label,method_note
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,2,ae16ad6b8035568f4dc386d157384e33a2052cff12452502c5c5c3a73d968c72,2023-08-04 15:09:45,1793844822538,stake_address,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,voucher 28M funder,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,3,d3f920e3ddb902571aabe3c9322780ee8b80154e53fa0057e107eed2d8e8bb94,2023-08-04 15:06:19,1793844990005,stake_address,stake1ux9vw6azy95waz9l3e8dme7pwmhcn68f77kqd245uxw57nqr9upaa,IOG19-ticker pledge stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,4,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,2021-02-04 04:06:31,5000000,stake_address,stake1ux9vw6azy95waz9l3e8dme7pwmhcn68f77kqd245uxw57nqr9upaa,IOG19-ticker pledge stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,5,a7ff54ef7eee5ccd2cc314b70808857f783b429d57f572c50b52d2808ce36c72,2021-02-04 03:46:25,328589356000,stake_address,stake1u98tv34cduv0dapxv6z0xlau7sp8ceg8glwy2fu2kzlcersf0nuh3,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,6,58a1500576537e01f9eeb40df86d95e8c6ec4d50c171097a1d39d8dd97d956b9,2021-02-04 03:26:05,328589536000,stake_address,stake1u8nqyy9kt5djkx5qw7vj9lxtgqs32tnnc5yamuk2kt8r3qs0vusmw,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,7,dafe0dc9929be9f1e632835ea8d61689d8eb5a9ae45880c52f6d6469bac0ba9e,2020-12-11 21:24:45,64328587396000,stake_address,stake1u8nqyy9kt5djkx5qw7vj9lxtgqs32tnnc5yamuk2kt8r3qs0vusmw,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,8,1ba061ca11ae445f6df69fb25e9cb8e23b12311a16d5ead2551f7d2d5faa4ae6,2020-12-11 21:09:09,45964726303548,stake_address,stake1u8520s54w57rw6pmshw3yz2p2v5wp9g2ac846qn4wm0rx5skeefny,IOG17-ticker pledge hub,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,9,1281301dc1c7c4112ae06a8947f01b6faac18fb4e198127f0a5cf7c902f3d71e,2020-12-11 19:29:21,110293313879715,stake_address,stake1u8520s54w57rw6pmshw3yz2p2v5wp9g2ac846qn4wm0rx5skeefny,IOG17-ticker pledge hub,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,10,bdc545631f062efbb5b46b0fe03dd9704bee77f5ce76b58b250eddd8a11eb143,2020-12-11 19:28:23,110293141442102,stake_address,stake1u84q6zq7juc74swm8e9f4py5qdsnrwujrpqa4hyq4vmhxkcegaq5t,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,11,9e718d5c3bf4130e260498574ef9d4bd0f0fa92ec025a2374ca536c59a499133,2020-08-08 14:13:31,108659612220000,stake_address,stake1u84q6zq7juc74swm8e9f4py5qdsnrwujrpqa4hyq4vmhxkcegaq5t,,largest-input path; not exclusive provenance
