asn,as_name,country,pools,stake_ada,delegators,pools_single_asn,stake_single_asn,delegators_single_asn
28725,"CETIN-AS - CETIN a.s., CZ",CZ,1,714931,100,0,0,0
28753,"LEASEWEB-DE-FRA-10 - Leaseweb Deutschland GmbH, DE",DE,14,636101144,267620,0,0,0
29066,"VELIANET-AS - velia.net Internetdienste GmbH, DE",DE,2,40280359,5195,0,0,0
29518,"BREDBAND2 - Bredband2 AB, SE",SE,6,344654527,18816,0,0,0
29695,"Altibox_AS - Lyse Tele AS, NO",NO,1,55712881,1769,0,0,0
30083,"AS-30083-US-VELIA-NET - velia.net, DE",DE,2,40280359,5195,0,0,0
31012,"DCM-AS - A1 Hrvatska d.o.o., HR",HR,1,1716158,190,0,0,0
31034,"ARUBA-ASN - Aruba S.p.A., IT",IT,1,1222333,37,0,0,0
3249,"ESTPAK - Telia Eesti AS, EE",EE,1,1198968,26,0,0,0
3301,"TELIANET-SWEDEN - Telia Company AB, SE",SE,1,924804,43,0,0,0
33185,"HIVE-DATA-CENTER - Hive Data Center Inc., CA",CA,1,54327245,1531,0,0,0
3323,"NTUA - National Technical University of Athens, GR",GR,1,3628363,134,0,0,0
3327,"CITIC - CITIC Telecom CPC Netherlands B.V., NL",NL,1,1198968,26,0,0,0
3356,"LEVEL3 - Level 3 Parent, LLC, US",US,1,1922163,165,0,0,0
36007,"KAMATERA - Kamatera, Inc., US",US,1,101624,13,0,0,0
36352,"AS-COLOCROSSING - HostPapa, US",US,2,67658836,10062,0,0,0
394710,"TELMAX-INC - TelMAX Inc., CA",CA,1,12353128,883,0,0,0
397423,"TIER-NET - Tier.Net Technologies LLC, US",US,1,98342,7,0,0,0
399244,"BLOOM-HOST - AME Hosting LLC, US",US,1,98342,7,0,0,0
399804,"HOSTODO - Hostodo, US",US,1,51853777,10021,0,0,0
40994,"Alwyzon - Hohl IT e.U., AT",AT,1,4486875,172,0,0,0
41427,"marc-net_AS - marc-net_AS, SI",SI,1,302459,8,0,0,0
