seed_id,label,depth,tx_hash,tx_id,tx_out_index,value_lovelace,address,stake_address,epoch_no,block_no,block_time_utc,path
cf,Cardano Foundation,3,abf83f890a0b8f131e160e410fd24a372a865a3a731f01bf6a1d217104448a0c,653291,0,646176261949625,DdzFFzCqrhtAWVgfxhfZ23ATFhoNbotUDAiPS3xu1TEMsLZUQxcHqA2EujbvRVHxnniG2CoARgZSDfQDZoCwp6RbySWyrpw89SSAyn1K,,55,1195118,2018-06-27 14:17:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#0 > abf83f890a0b8f131e160e410fd24a372a865a3a731f01bf6a1d217104448a0c#0
cf,Cardano Foundation,3,abf83f890a0b8f131e160e410fd24a372a865a3a731f01bf6a1d217104448a0c,653291,1,2000000000000,DdzFFzCqrhsgwQmeWNBTsG8VjYunBLK9GNR93GSLTGj1FeMm8kFoby2cTHxEHBEraHQXmgTtFGz7fThjDRNNvwzcaw6fQdkYySBneRas,,55,1195118,2018-06-27 14:17:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#0 > abf83f890a0b8f131e160e410fd24a372a865a3a731f01bf6a1d217104448a0c#1
cf,Cardano Foundation,3,de932d17aeab59ac266f16df885eeb081d981629b982d76602bf95dd0417332f,14532,0,828930,DdzFFzCqrhsh6PPXzk7CJD5x5FVuJMm2aJLLou2REGuV8G842fbcEhgbaz7BhnfD7oopi9MM8rGDWwQNpdqHesegkYDP1TxeQyx8ssNi,,0,19736,2017-09-28 11:23:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0 > 4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c#0 > de932d17aeab59ac266f16df885eeb081d981629b982d76602bf95dd0417332f#0
cf,Cardano Foundation,3,de932d17aeab59ac266f16df885eeb081d981629b982d76602bf95dd0417332f,14532,1,647999999000000,DdzFFzCqrhsrLwwP94HsJenSAauqK8VXE2HDGTZPBHwHVFrqmiPAQjjFjxDyNibJvbqH7vFndYKwZFQdAzdcS9DHH3CGaZsjm8f9SxSV,,0,19736,2017-09-28 11:23:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0 > 4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c#0 > de932d17aeab59ac266f16df885eeb081d981629b982d76602bf95dd0417332f#1
emurgo,EMURGO,0,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38,14527,0,2074165643000000,DdzFFzCqrhsi4ogKmCFQwBUWqtS18UBL3SrdDoNuSxHSiqKAgbn2zCfDsdv2hbTDN8mgwT3C84uQ3EKazbUtPMPFKDzNxrLKBeWqKqvy,,0,19499,2017-09-28 10:04:11,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0
emurgo,EMURGO,1,7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf,38128,0,2074165542828930,DdzFFzCqrhssS4dTa9iKH4n2gdXntF8FKmEhBzyEDcAwKhorDn5qhBkq6kQeLBhyn4zVeBuvLJXrwvMfiW1hVVHaZLEvYuFrdXSLp8eE,,4,104986,2017-10-18 05:09:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0
emurgo,EMURGO,1,7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf,38128,1,100000000,DdzFFzCqrhsu3iF6JfUTaapdWq2mXVRFukkS28WFYVDEqkgaaYttH8cT32credS99L5GaoUsEquqEPNH7ae88eKuDL6XsK5ZL56jkfLi,,4,104986,2017-10-18 05:09:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1
emurgo,EMURGO,2,71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78,44061,0,2846991204291506,DdzFFzCqrhsmBiB2rSvBzzPAmPjUtvDNg3r3vEey711wqsJZKrUnNvEjnmdJFs8ZeHAcPSdxp4PLtLnY7QDH1Ppsk77di6YNhnppvx6r,,7,156971,2017-10-30 05:58:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#0
emurgo,EMURGO,2,71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78,44061,1,8555933000000,DdzFFzCqrhsfyvaGxgsiD4cPZNpo226gw2Qr6kspKSYjSjpLmSgwbFatsnyzLZqHVgmugGPtQya9CwBRwwhRChHqsNaYtKq83VJ6RZbj,,7,156971,2017-10-30 05:58:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#1
emurgo,EMURGO,2,743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b,38129,0,1074165542657684,DdzFFzCqrht6ppB1sTzhf1dR76ex9YkTyfcWSK5Jr1XCmoTEQjXbGGGaBq47zX1VSkWaRiPaZnxEUbb9huDMVEdwFvDRjZP91scLZGNW,,4,104999,2017-10-18 05:14:11,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0 > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b#0
