stake_address,total_output_rows,current_utxos,current_ada,first_received_time,last_received_time,last_outgoing_time,stake_key_registered,pool_delegation_certs,current_pool_bech32,latest_pool_cert_time,latest_pool_active_epoch,drep_delegation_certs,current_drep,latest_drep_cert_time,rewards_earned_ada,last_reward_spendable_epoch,withdrawal_count,rewards_withdrawn_ada,last_withdrawal_time,rewards_unclaimed_ada
stake1ux47d7aa3l8vk2pf0v6jlj39t00y7lagf68pewgw2cxkcasfmqr5h,23,10,35000000.000000,2022-01-31 11:38:37,2023-09-28 08:43:44,2023-09-25 16:13:30,t,1,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,2022-03-21 19:12:37,329,1,drep_always_abstain,2025-02-10 03:23:20,3914661.797155,641,307,3902174.898319,2026-06-29 01:09:40,12486.898836
stake1uxasl8h59m07npqm2fvf7jnfh4etfpufxnpr3d7wzx2nuzqfvwhyv,35,12,35000000.000000,2022-01-28 17:08:39,2023-09-27 21:18:08,2023-09-20 14:10:56,t,1,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,2022-03-21 18:15:15,329,1,drep_always_abstain,2025-02-09 21:16:32,3963492.562475,641,309,3953236.992281,2026-06-29 00:02:08,10255.570194
stake1uxe4t8cpsftrxrylxv0dqvr3709z8xej88eq4jwm25yyuwckfxrgz,20,15,35000000.000000,2022-06-02 00:01:32,2023-10-02 12:01:05,2023-01-20 22:13:46,t,1,pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,2022-03-25 21:40:24,330,1,drep_always_abstain,2025-02-09 21:54:18,3853860.285231,641,293,3845599.215055,2026-06-29 00:54:15,8261.070176
stake1uxgprz3q4hcjaw7uux7u8vkrlmu0t2fdul4skkmpwgzdskqujw746,105,47,35000000.000000,2022-01-27 15:40:33,2025-03-17 12:01:36,2025-03-16 14:10:41,t,1,pool1gk20vlqg7qq868avysckjcjtwyphtjurfwlgra45670ny6r4fww,2022-03-21 16:50:12,329,1,drep_always_abstain,2025-02-09 19:50:36,3975990.169913,641,308,3964892.916509,2026-06-29 00:16:06,11097.253404
stake1uxgvmw0xzepg6lxh7vurkwfmhmckvyf60ld58ak3tugzhaqt6mmqr,399,59,35000000.000000,2022-01-31 11:41:47,2026-03-22 12:01:06,2026-03-18 12:01:28,t,1,pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,2022-03-21 19:35:47,329,1,drep_always_abstain,2025-02-09 21:58:19,1872070.286030,641,237,1863238.955758,2026-06-29 01:13:23,8831.330272
stake1uxnahfm744jqetweykux94225r23zenvwal35pzdx5nk7ncel34hk,127,124,35000000.000000,2022-03-28 07:30:25,2023-10-07 12:03:57,2023-02-07 21:30:24,t,1,pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,2022-03-25 21:34:31,330,1,drep_always_abstain,2025-02-09 21:19:58,3954550.468154,641,305,3945435.227401,2026-06-29 00:12:07,9115.240753
stake1uxumqen09wpy75yz2un4r6m2q62xdwt7s8nnxujgyrgyrmscg76tt,27,27,35000000.000000,2022-12-15 18:03:03,2023-10-20 12:01:53,,t,1,pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,2022-10-31 21:15:11,374,1,drep_always_abstain,2025-02-09 21:19:58,2982249.455083,641,253,2972561.091872,2026-06-29 00:40:07,9688.363211
stake1uxw8tfdg5r5d88y2ljcfdm4spfqw94qg3qfs4ha3rm9uynqplzn6s,109,34,35000000.000000,2022-04-10 23:08:58,2023-10-02 12:01:05,2023-01-24 21:50:39,t,1,pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,2022-03-25 21:35:53,330,1,drep_always_abstain,2025-02-10 05:34:55,3914098.608583,641,302,3904983.367830,2026-06-29 00:47:19,9115.240753
stake1uxwu054js5dmp3kma74kxmzejmy7mfg3wvtx8jpuh299ufg34uk4s,24,10,35000000.000000,2022-01-31 11:37:59,2023-09-28 08:44:05,2023-07-27 15:20:51,t,1,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,2022-03-21 19:11:19,329,1,drep_always_abstain,2025-02-09 21:10:27,3905713.503366,641,308,3893226.604530,2026-06-29 00:03:27,12486.898836
stake1uxxxfrc883r6yw8va9gsc0607lggzu4skaynq2jl4nlsgccmj22tv,20,5,35000000.000000,2022-05-29 18:03:29,2023-09-28 08:43:16,2023-02-14 20:30:13,t,1,pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,2022-03-25 21:39:08,330,1,drep_always_abstain,2025-02-09 21:21:30,3151334.641417,641,293,3143073.571241,2026-06-29 00:14:13,8261.070176
stake1uxxyytc3fcuevdm7ewx7eql2qf0mcrddfut5y8h05lzmwvs3x5apg,84,46,35000000.000000,2022-01-28 17:23:12,2026-06-21 20:07:59,2026-06-21 12:09:25,t,1,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,2022-03-21 18:04:33,329,1,drep_always_abstain,2025-02-09 21:16:52,3960128.187137,641,307,3952547.108214,2026-06-29 00:58:17,7581.078923
