endpoint,endpoint_kind,pools,stake_ada,delegators,tickers,pool_bech32s
dns:relays.planetstake.com,dns,2,23763691,1382,STAKE STAKE,pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt pool1lr5ku0p3jhykdf3a2kcr0tyra30qvzrtl02dr6uyv98rxdsy3k9
ipv4:161.97.90.20,ipv4,2,23763691,1382,STAKE STAKE,pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt pool1lr5ku0p3jhykdf3a2kcr0tyra30qvzrtl02dr6uyv98rxdsy3k9
dns:adaboy-mainnet-3a.gleeze.com,dns,2,23278731,451,HODLR HODLR,pool1eaeynp2hs06v4x8q65jfm2xqcd3dc80rv220gmxvwg8m5sd6e7a pool17am8pt0vu7zp8du7edlnz7x9sq4pln22rsn802gkr062vtp6fdp
ipv4:133.167.33.31,ipv4,2,21156825,133,MYUJK OSAKA,pool1c60f68y8406zjmacluvcu8c0krgngp6h2qkkqhdz4mtl62ns0dq pool1lhvpgr8lhsf6h03v9zqxm74pa63rdxx4yuvkqfw4tv9fua8t37a
ipv4:162.43.71.205,ipv4,2,21156825,133,MYUJK OSAKA,pool1c60f68y8406zjmacluvcu8c0krgngp6h2qkkqhdz4mtl62ns0dq pool1lhvpgr8lhsf6h03v9zqxm74pa63rdxx4yuvkqfw4tv9fua8t37a
ipv4:35.72.226.248,ipv4,2,20280572,92,CTEC CTEC2,pool154hq0j6u6ydz62mtlu7xaj78mhreyp0zsv2kq7f0qmne2fu4t7y pool12ktz62g9d32nq0cdk9jyyqg6kquj7lnmx776at5h598supql0t2
ipv4:118.153.253.133,ipv4,2,19745011,30,NVET ALRES,pool1xjqjwe0t7uw7wfdygvt99e5wjcuz6ex6rcx2p067aqxp6tsgwgm pool1g6czdusgxwskqy8evsnxvqkg2a70rpjtv0maauldl5uusmhm94a
dns:asia-pacific-japan.popsp.net,dns,2,17731886,134,POP POP4,pool19ejln2jcpg5dphc8m5nh8sya49sycsqj0v2cjxw6nku966cc8nu pool12lsfsh2s8yt8dvrt9m8kgrgr6ktntngvn2vad60xlqz7kxz9fxr
dns:csn.relay1.cardanoscan.io,dns,2,17553163,905,CSN1 CSN2,pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k pool1mfgqn8n658vjdcvg3xgtr3qyet64fht0dzsukqeznxw36z8g2k6
dns:csn.relay2.cardanoscan.io,dns,2,17553163,905,CSN1 CSN2,pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k pool1mfgqn8n658vjdcvg3xgtr3qyet64fht0dzsukqeznxw36z8g2k6
ipv4:51.15.230.232,ipv4,2,16568868,143,RANKT PSPJ,pool1zdtqtsu3l3ytatzyvrq48d4mpnll9c5evwfq6taxkmn9vvdz839 pool1568zhphxsnj5mfszwgta5zlvulu67g8f4jn6d3xs2tvas8ffu76
ipv4:34.192.61.190,ipv4,2,15658046,18,BNP,pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls pool1f4n4mdsv5ydxuc3y4tzgumqvfa8xxlyr8jl70qquama0ug2pmhf
ipv4:206.81.3.194,ipv4,2,15638523,2130,MANA FREE1,pool1tpy5yawzpetcverves0h6xdycxgrstehfvrkygydt9jcqxwpw3j pool12f2r9xf4wvht030xwjhpjvy5yptr275qr2qcydnx57jkxyfzz2w
ipv4:15.204.108.52,ipv4,2,14690611,8,MAVAN MAVAN,pool1m4njkh73pdj90xxkgaz9dnh7gffweeupft8nfurlntg6cgqfmy8 pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8
ipv4:40.160.1.159,ipv4,2,14690611,8,MAVAN MAVAN,pool1m4njkh73pdj90xxkgaz9dnh7gffweeupft8nfurlntg6cgqfmy8 pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8
dns:relay2.bluecheesestakehouse.com,dns,2,14437689,1539,BCSH4 BCSH2,pool1qzlw7den2mlj0fmm65g0fnf46vyhzkhmdaf0f8v3s6skuue6rlk pool1qzlw72zfwhhc0ptvzdpld06szu39x9mlm6782efy6sluz932fx6
ipv4:49.12.123.178,ipv4,2,13660662,3569,SWIM SWIM2,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9 pool1l0pmgdsymmdntuyan4snj88q8nm9axemwefu5ymkuq2s6gr90cn
ipv4:51.161.35.246,ipv4,2,13660662,3569,SWIM SWIM2,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9 pool1l0pmgdsymmdntuyan4snj88q8nm9axemwefu5ymkuq2s6gr90cn
ipv4:51.195.91.118,ipv4,2,13660662,3569,SWIM SWIM2,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9 pool1l0pmgdsymmdntuyan4snj88q8nm9axemwefu5ymkuq2s6gr90cn
ipv4:95.217.58.124,ipv4,2,13660662,3569,SWIM SWIM2,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9 pool1l0pmgdsymmdntuyan4snj88q8nm9axemwefu5ymkuq2s6gr90cn
dns:asia-pacific-relay.jpn-sp.net,dns,2,11883107,164,JP5 JAPAN,pool1larpvn53yyufaf8fh89nrrpgruqcq8mgxrtdxp5y87cqse3yfg2 pool19uynx6nxcdksmaqdcshjg487fap3rs3axyhrdqa7gdqgzgxss4y
ipv4:128.199.147.30,ipv4,2,11726449,1971,KOPI,pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962 pool1csrtagrya4hc5pectc20s8s7am3e6vpdjj6antqzvn2lgmm5afs
ipv4:158.140.141.199,ipv4,2,11726449,1971,KOPI,pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962 pool1csrtagrya4hc5pectc20s8s7am3e6vpdjj6antqzvn2lgmm5afs
ipv4:223.25.73.249,ipv4,2,11726449,1971,KOPI,pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962 pool1csrtagrya4hc5pectc20s8s7am3e6vpdjj6antqzvn2lgmm5afs
ipv4:152.53.123.131,ipv4,2,11206087,34,NOSP ATRMN,pool1axngzl8clfn6pnjaf4w5r0q4tgcwktv0zcuxnn32hl995pthddr pool1pgmuramw9waw9ckxsvpxmcn9p6fd4xl5jmavu8jje0x5vuc00l0
dns:nerd1.stakewithnerd.com,dns,2,10998816,2947,NERD NERD2,pool1u0mc9ywfxl529atxyajuz3pgqnwgnk6w7lejjmjg22ucvn7z9vh pool1xtrwqwu6jn896szjwsyxxjczl6hc9sq4lh5ax68f7dt3gc0y9rx
ipv4:116.203.49.240,ipv4,2,10787517,20,GG63 SS63,pool1hjpax8lf2hmct63xxrspe9zzmmywcrzw89yg3nacu0axzy0latu pool1d9g45764jtjzagrmy5ndtrx4pua7l9sr4nh08l3mqs43xe6wnh9
ipv4:135.181.43.109,ipv4,2,10787517,20,GG63 SS63,pool1hjpax8lf2hmct63xxrspe9zzmmywcrzw89yg3nacu0axzy0latu pool1d9g45764jtjzagrmy5ndtrx4pua7l9sr4nh08l3mqs43xe6wnh9
dns:r1.a421.de,dns,2,9858962,846,WMOPS LUKE,pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p pool1hqwxta8p0j8ffkyle5mf6yg80tucqzh8q9mszws60xe5ja06nwa
dns:r2.a421.de,dns,2,9858962,846,WMOPS LUKE,pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p pool1hqwxta8p0j8ffkyle5mf6yg80tucqzh8q9mszws60xe5ja06nwa
dns:r3.a421.de,dns,2,9858962,846,WMOPS LUKE,pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p pool1hqwxta8p0j8ffkyle5mf6yg80tucqzh8q9mszws60xe5ja06nwa
ipv4:135.125.202.226,ipv4,2,9682116,2166,VINCE VINCI,pool1lqpymyzg9glc88r7urptuv0d8t2tu9ty7xtshvxmgpu0j4lp8p3 pool1j8grqucdwwcr0cwzxrtw30vqcptg0jdlrmauq5w7ytvqx6nf5np
ipv4:135.125.235.167,ipv4,2,9682116,2166,VINCE VINCI,pool1lqpymyzg9glc88r7urptuv0d8t2tu9ty7xtshvxmgpu0j4lp8p3 pool1j8grqucdwwcr0cwzxrtw30vqcptg0jdlrmauq5w7ytvqx6nf5np
ipv4:151.115.80.221,ipv4,2,9018255,64,SOCIO THANK,pool1g2y0j7rsv7dpu8p6jt2dva3rxfqjl2zu0ag9dd0cfm8guzg0lh0 pool1w3xys99a8xmwcwse4tqpqmyqqzykryfc4w7cvvjusej0vnxdlrf
ipv4:51.159.238.199,ipv4,2,9018255,64,SOCIO THANK,pool1g2y0j7rsv7dpu8p6jt2dva3rxfqjl2zu0ag9dd0cfm8guzg0lh0 pool1w3xys99a8xmwcwse4tqpqmyqqzykryfc4w7cvvjusej0vnxdlrf
ipv4:95.216.169.198,ipv4,2,8613729,171,NINI NICE,pool1rcd7qslz3xnpnk9u6tcwegy5r2574uf8suqu24ptg637jha3sr5 pool1zeya2r53sxmqh2ux3ssfsrqerergnw2hjxmp63r83ntwverpqwm
dns:relay-de.masterstake.com,dns,2,7039893,1660,MASTR MASTR,pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex pool1j3umdcuxcewcxz98wm3sx5xqwgxx0v7z376xyjfq4jgejpvv8fz
dns:relay-nl.masterstake.com,dns,2,7039893,1660,MASTR MASTR,pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex pool1j3umdcuxcewcxz98wm3sx5xqwgxx0v7z376xyjfq4jgejpvv8fz
dns:relay01.londonpool.co.uk,dns,2,6199780,1039,LONDN UK1,pool18v9r8afalh50l4lstct2awdc3zspnvurcs7t45nv29uc2mnxc6c pool1sx4e8rvx2xdxgkww2fpjtmvrnaftfrtfge29xcn72hh7kch5snf
dns:relay02.londonpool.co.uk,dns,2,6199780,1039,LONDN UK1,pool18v9r8afalh50l4lstct2awdc3zspnvurcs7t45nv29uc2mnxc6c pool1sx4e8rvx2xdxgkww2fpjtmvrnaftfrtfge29xcn72hh7kch5snf
dns:cardano-relay2.kysenpool.io,dns,2,5975588,2075,KYSN KYSN2,pool1fyp482ntshhm9zfz4nv7pmsaeakscf5mnuzcxuvtqf6t56fc7l0 pool1d76p7zfn2ydq577z4wsvmnl2lx4cxa3s5vplfuhvr8qfw8hd05j
