flow_level,leaf_utxos,qty_night,pct_of_supply
1822,1,8018.655524,0.0
1826,1,70000.0,0.0003
1827,1,100000.0,0.0004
1828,2,60528.0,0.0003
1829,2,202746.141819,0.0008
1831,2,38669.031272,0.0002
1834,1,344.0,0.0
1842,2,3817.984403,0.0
1844,1,13060.1983,0.0001
1849,1,22000.0,0.0001
1852,1,36635.70489,0.0002
1853,1,5000.0,0.0
1856,1,7852.3833,0.0
1857,1,1299.6525,0.0
1862,1,43859.1546,0.0002
1868,1,57260.4622,0.0002
1872,2,85232.1824,0.0004
1874,3,25113.831244,0.0001
1875,2,6772.4444,0.0
1877,1,100.0,0.0
1878,1,3028.20334,0.0
1879,1,32933.014,0.0001
1886,1,18855.4057,0.0001
1894,1,55.409016,0.0
1895,1,1051.6118,0.0
1906,1,27529.3704,0.0001
1919,1,81027.6151,0.0003
1922,1,132831.51518,0.0006
1925,1,178952.231003,0.0007
1927,1,153503.624353,0.0006
1930,1,97000.0,0.0004
1931,1,100000.0,0.0004
1932,3,191451.256625,0.0008
1933,1,894.37,0.0
1934,1,10.0,0.0
1939,1,1884.275885,0.0
1942,1,969.401195,0.0
1943,2,1981.619588,0.0
1944,1,967.87694,0.0
1956,1,40.0,0.0
1957,1,100.0,0.0
1958,1,118730.1109,0.0005
1960,1,4199.3164,0.0
1963,1,500.0,0.0
1966,1,29745.4048,0.0001
1971,1,40.0,0.0
1973,1,99.949986,0.0
1988,1,10125.9439,0.0
1994,1,46867.04,0.0002
1999,1,4715.1601,0.0
2000,1,105377.316923,0.0004
2001,1,980.534666,0.0
2013,1,17623.541,0.0001
2014,1,19907.1237,0.0001
2018,1,54073.06,0.0002
2026,1,100.0,0.0
2027,1,3715.64732,0.0
2031,1,60.0,0.0
2035,2,2128.994947,0.0
2037,1,54.652857,0.0
2041,1,2553.074284,0.0
2043,1,949.43,0.0
2045,1,149.291104,0.0
2055,1,40.0,0.0
2056,1,5254.1605,0.0
2058,1,3691.0852,0.0
2071,1,40882.47912,0.0002
2074,1,159976.0,0.0007
2077,2,60.0,0.0
2082,1,5165.1097,0.0
2085,1,472.127695,0.0
2091,1,2078.0,0.0
2094,2,251975.5429,0.001
2100,1,606.57014,0.0
2103,1,793532.904859,0.0033
2119,1,4972.19784,0.0
2121,1,40.0,0.0
2123,1,78.366869,0.0
2125,2,85675.082,0.0004
2126,1,99905.0,0.0004
2127,1,5574.943617,0.0
2128,2,104508.96852,0.0004
2129,1,1565.033399,0.0
2134,1,16407.392619,0.0001
2138,1,294.56,0.0
2139,2,10350.719264,0.0
2141,2,1089.6642,0.0
2142,1,121.0,0.0
2144,1,11260.9078,0.0
2145,1,5052.965564,0.0
2152,1,32363.18876,0.0001
2155,1,3627.269099,0.0
2156,1,293862.057711,0.0012
2157,1,50.0,0.0
2159,1,50815.410748,0.0002
2160,1,440206.1332,0.0018
2161,1,9100.2706,0.0
2162,1,11500.0,0.0
2166,2,125000.0,0.0005
2182,1,17441.1214,0.0001
2183,1,6917.663865,0.0
2198,1,46161.0727,0.0002
2201,1,46.694694,0.0
2207,1,71459.5499,0.0003
2211,1,4916.7421,0.0
2220,1,49394.6359,0.0002
2226,1,4589.8901,0.0
2233,1,730.936625,0.0
2237,1,243403.7326,0.001
2239,1,1968.0,0.0
2259,1,503.39,0.0
2263,1,500.0,0.0
2264,1,8229.96864,0.0
2266,1,1571.560084,0.0
2267,1,4432.736991,0.0
2268,2,16829.381,0.0001
2276,2,10322.226724,0.0
2280,2,81861.04675,0.0003
2282,3,185658.45855,0.0008
2283,2,44018.8641,0.0002
2284,1,7308.688,0.0
2285,1,230409.795391,0.001
2286,2,158584.84,0.0007
2287,1,60545.39,0.0003
2289,1,147.333451,0.0
2290,4,122418.259772,0.0005
2291,1,2216.52822,0.0
2294,1,489.892,0.0
2297,1,2729.672539,0.0
2298,1,6369.444028,0.0
2299,1,947.3317,0.0
2300,1,182.046711,0.0
2301,2,141269.939289,0.0006
2302,1,118778.945,0.0005
2303,2,10915.152147,0.0
2304,1,1500.842097,0.0
2306,3,266.0,0.0
2307,3,566.336575,0.0
2308,4,2628.726454,0.0
2309,3,22825.237996,0.0001
2315,2,3165.478836,0.0
2318,1,104.0,0.0
2326,1,4049.78995,0.0
2327,2,81232.714644,0.0003
2329,1,4824.883054,0.0
2330,2,14886.763426,0.0001
2331,1,100.0,0.0
2332,1,717.178088,0.0
2333,2,868.709878,0.0
2338,1,365.974701,0.0
2339,1,2290.076649,0.0
2343,1,703.71051,0.0
2344,1,535.823655,0.0
2345,6,62531.537595,0.0003
2346,3,21209.60692,0.0001
2347,1,11582.1,0.0
2348,1,145465.64295,0.0006
2349,3,360132.263173,0.0015
2350,1,8800.101419,0.0
2351,2,4849.0933,0.0
2357,2,55892.191152,0.0002
2359,2,106296.610861,0.0004
2361,1,1113.679964,0.0
2362,2,36651.11984,0.0002
2365,1,1456.18414,0.0
2367,1,1662.832974,0.0
2368,1,8669.510794,0.0
2370,1,238.615671,0.0
2371,1,10140.07132,0.0
2372,1,227.3054,0.0
2374,4,149559.294855,0.0006
2378,1,3913.070655,0.0
2382,1,25934.0,0.0001
2383,2,184295.190687,0.0008
2387,3,14487.349463,0.0001
2388,1,61599.307,0.0003
2391,4,9098.511312,0.0
2394,1,74.727215,0.0
2395,3,261832.754077,0.0011
2396,1,3258.321934,0.0
2397,2,3202.856723,0.0
2404,1,140.0,0.0
3349,1,31828.304618,0.0001
