flow_level,leaf_utxos,qty_night,pct_of_supply
61,802,41698645.629456,0.1737
62,781,31706397.35127,0.1321
63,760,21350628.81187,0.089
64,747,24056943.317325,0.1002
65,729,33861878.400607,0.1411
66,734,10497380.788476,0.0437
67,712,5961887.959545,0.0248
68,702,9183842.375144,0.0383
69,714,11206591.504946,0.0467
70,708,18270145.159772,0.0761
71,695,17698281.458298,0.0737
72,687,25871408.312178,0.1078
73,677,29750709.865763,0.124
74,696,24882309.818265,0.1037
75,652,18609544.389235,0.0775
76,643,59986863.482086,0.2499
77,621,7120486.57104,0.0297
78,635,39554688.492113,0.1648
79,620,25279455.859838,0.1053
80,601,10919814.961015,0.0455
81,583,30534833.775901,0.1272
82,593,29621505.363234,0.1234
83,643,23333010.830272,0.0972
84,589,17573309.795795,0.0732
85,576,25256578.454701,0.1052
86,584,59971064.026036,0.2499
87,559,17241784.759119,0.0718
88,574,49459459.993307,0.2061
89,558,25182385.914332,0.1049
90,535,26093573.598673,0.1087
91,539,10276521.626173,0.0428
92,536,54484815.434683,0.227
93,540,35866092.96156,0.1494
94,525,22877093.316901,0.0953
95,506,7286047.503967,0.0304
96,540,22015367.902982,0.0917
97,497,63306885.401949,0.2638
98,504,64552371.799469,0.269
99,484,24086585.191303,0.1004
100,495,21831035.423905,0.091
101,484,10893227.904723,0.0454
102,457,16763561.793352,0.0698
103,477,11194247.19072,0.0466
104,479,23597035.586288,0.0983
105,473,5752650.479841,0.024
106,460,29825128.843188,0.1243
107,457,6010204.513561,0.025
108,468,4699138.952794,0.0196
109,464,5341017.100825,0.0223
110,470,13393731.274078,0.0558
111,406,25058591.393421,0.1044
112,463,21282858.008736,0.0887
113,408,6944020.198073,0.0289
114,443,9017809.083189,0.0376
115,444,17008817.29111,0.0709
116,392,7925461.075622,0.033
117,408,12297786.38885,0.0512
118,407,7561438.708093,0.0315
119,400,5312009.482833,0.0221
120,384,6852376.393062,0.0286
121,405,7785657.600736,0.0324
122,367,7014905.788201,0.0292
123,373,7682385.781826,0.032
124,373,7035491.076729,0.0293
125,364,8115823.922249,0.0338
126,386,5176915.714071,0.0216
127,342,4663589.862998,0.0194
128,357,14731830.432295,0.0614
129,347,17486503.543313,0.0729
130,359,13010123.790262,0.0542
131,350,19402878.327065,0.0808
132,310,2833287.496248,0.0118
133,318,4144076.16268,0.0173
134,343,6944428.377456,0.0289
135,319,32127982.325629,0.1339
136,321,12969991.742705,0.054
137,288,5588438.209082,0.0233
138,310,7161513.101936,0.0298
139,278,6840307.728341,0.0285
140,291,21833079.196775,0.091
141,275,7143292.808525,0.0298
142,290,18222247.116322,0.0759
143,245,3307271.46102,0.0138
144,267,20318635.08555,0.0847
145,251,2595742.6928,0.0108
146,275,14192516.467911,0.0591
147,243,12119299.027452,0.0505
148,235,7383441.983917,0.0308
149,275,46802024.789305,0.195
150,241,3550762.9855,0.0148
151,235,4441656.95293,0.0185
152,247,14522460.737095,0.0605
153,225,5273418.162439,0.022
154,254,14185798.90836,0.0591
155,239,33240816.617309,0.1385
156,228,86595286.413699,0.3608
157,226,14376430.394593,0.0599
158,234,1957265.45354,0.0082
159,226,12567513.942146,0.0524
160,215,3786829.372784,0.0158
161,201,15599204.389106,0.065
162,213,8479626.475407,0.0353
163,207,37248101.256282,0.1552
164,205,13151077.436989,0.0548
165,199,3223818.83732,0.0134
166,189,2052240.978049,0.0086
167,196,1991875.070475,0.0083
168,187,22067031.483357,0.0919
169,187,28808476.12432,0.12
170,154,1783784.027118,0.0074
171,171,13044551.423195,0.0544
172,156,2969333.734788,0.0124
173,176,3887718.063542,0.0162
174,146,3642266.948761,0.0152
175,142,3780034.482608,0.0158
176,159,1496607.154035,0.0062
177,150,3422689.053578,0.0143
178,152,4221919.94807,0.0176
179,154,2265763.20488,0.0094
180,144,1358077.852101,0.0057
181,155,14422524.777975,0.0601
182,149,5113146.480658,0.0213
183,141,4559595.341049,0.019
184,138,14293909.300653,0.0596
185,141,3408278.867856,0.0142
186,143,1809303.643453,0.0075
187,140,2687844.503525,0.0112
188,146,25921985.755986,0.108
189,133,1687997.825828,0.007
190,132,2776354.15795,0.0116
191,122,1950024.088042,0.0081
192,128,1500770.756021,0.0063
193,134,5505136.704896,0.0229
194,111,1428280.501432,0.006
195,111,5194155.970731,0.0216
196,122,1353904.65122,0.0056
197,118,3133565.076164,0.0131
198,105,2644084.123026,0.011
199,110,3382339.691587,0.0141
200,115,1816099.337172,0.0076
201,109,1403336.357987,0.0058
202,109,1422642.902751,0.0059
203,105,2410991.887078,0.01
204,109,1760493.909407,0.0073
205,102,1907309.006,0.0079
206,106,3519036.804741,0.0147
207,100,2126096.62362,0.0089
208,95,865868.009128,0.0036
209,94,1201922.968976,0.005
210,104,31401055.957811,0.1308
211,96,1948756.121532,0.0081
212,102,3009463.900089,0.0125
213,92,12740098.612637,0.0531
214,83,607463.443136,0.0025
215,93,1206224.421746,0.005
216,89,2241585.15868,0.0093
217,84,13752190.561652,0.0573
218,90,1983832.486016,0.0083
219,88,2105325.34464,0.0088
220,76,2652398.639034,0.0111
221,85,1022037.162967,0.0043
222,82,1051021.478949,0.0044
223,78,986610.406419,0.0041
224,83,10448259.079873,0.0435
225,75,628654.091453,0.0026
226,74,2936792.286649,0.0122
227,85,705540.955273,0.0029
228,67,2063746.20946,0.0086
229,79,1352590.055045,0.0056
230,80,499371.379082,0.0021
231,80,12050675.10356,0.0502
232,69,807379.315897,0.0034
233,70,3445429.146418,0.0144
234,78,10332733.918472,0.0431
235,66,741753.798725,0.0031
236,64,186875.289128,0.0008
237,71,463284.339718,0.0019
238,60,15726227.110283,0.0655
239,65,1462606.008778,0.0061
240,69,1524359.131987,0.0064
241,64,964433.48911,0.004
242,62,1379321.777128,0.0057
243,71,1520079.082125,0.0063
244,64,4095839.014042,0.0171
245,70,11913778.597877,0.0496
246,61,17335301.046703,0.0722
247,62,1770104.721367,0.0074
248,55,956145.460738,0.004
249,58,500981.360597,0.0021
250,51,571296.282536,0.0024
251,63,902221.021672,0.0038
252,52,1845971.785215,0.0077
253,57,497012.279134,0.0021
254,54,781503.512566,0.0033
255,53,625588.37745,0.0026
256,60,1093428.222508,0.0046
257,53,1804330.290778,0.0075
258,50,958937.72766,0.004
259,57,538966.121395,0.0022
260,50,1284784.958231,0.0054
261,52,172148.926485,0.0007
262,55,1160009.491396,0.0048
263,57,1158476.809041,0.0048
264,49,873878.219625,0.0036
265,50,765136.188159,0.0032
266,49,720379.124738,0.003
267,50,6826623.659466,0.0284
268,54,9792136.089775,0.0408
269,56,372221.708855,0.0016
270,45,378470.880986,0.0016
271,53,2117750.105209,0.0088
272,46,1570391.832856,0.0065
273,57,946133.003812,0.0039
274,53,352667.278974,0.0015
275,45,21555486.094221,0.0898
276,47,14067551.752037,0.0586
277,48,641814.137484,0.0027
278,45,359932.241902,0.0015
279,47,373729.445144,0.0016
280,47,778590.636665,0.0032
281,44,243085.191436,0.001
282,53,835998.697563,0.0035
283,45,504768.581228,0.0021
284,43,818073.343835,0.0034
285,44,8780115.268337,0.0366
286,38,480845.278338,0.002
287,39,8743327.504542,0.0364
288,42,1244567.401327,0.0052
289,40,282723.811465,0.0012
290,45,462067.076104,0.0019
291,45,243902.682812,0.001
292,42,358343.744904,0.0015
293,40,542673.957582,0.0023
294,38,844138.443573,0.0035
295,43,436152.126765,0.0018
296,36,483735.345654,0.002
297,43,56461803.949822,0.2353
298,33,12838953.284006,0.0535
299,36,3622400.337273,0.0151
300,34,500526.781825,0.0021
301,29,566148.194775,0.0024
302,33,437023.531135,0.0018
303,27,139508.219196,0.0006
304,30,839800.852554,0.0035
305,34,18985233.235956,0.0791
306,26,303838.613685,0.0013
307,28,116141.747264,0.0005
308,29,15069357.23013,0.0628
309,28,619381.053271,0.0026
310,19,57081.06112,0.0002
311,23,1284972.966555,0.0054
312,21,26232.857238,0.0001
313,19,15358900.89002,0.064
314,23,2465536.267032,0.0103
