snapshot_utc,trace_schema,cert_type,root_combo,epoch_no,cert_count,distinct_stake_addresses,distinct_targets
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,511,4,4,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,512,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,513,3,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,514,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,515,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,516,4,4,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,517,4,4,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,518,9,9,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,519,11,11,7
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,520,10,10,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,521,7,7,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,522,12,11,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,523,16,15,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,524,7,7,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,525,12,12,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,526,18,18,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,527,23,23,10
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,528,13,13,7
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,529,12,12,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,530,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,531,14,14,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,532,12,12,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,533,15,12,6
