address,has_script,qty_night,utxos,pct_of_supply
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdtpx55s9wvwpkpcz0ztfs3y9c7ppep72dlflxamru6svmsc8lrxc,true,5469232.378938,1,0.0228
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwtdde77adnxf3hrgzlfc3m9jlw0et7k7j0dpmatze2l24q85yq9d,true,5448859.575203,1,0.0227
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwf3zprj60tsgurkdntxmachdpgxrutmgrjk487lnq72j8zqlrxqwf,true,5447946.721739,1,0.0227
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdg4mcxm6nmyn3lsg7spmq9y847fcvgpdmfwp0992h4j80smqqely,true,5442992.142449,1,0.0227
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw0e774lquvulsxaencq008ggp2zl48vgzpe0q23n7h5tdks08tnnl,true,5441940.718623,1,0.0227
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw062f574zw6nmv4j2tw85vsdpetf9dt68flr9qzucr05zts908er7,true,5441858.475618,1,0.0227
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkww2duup4kj5uhap2ahy7e5prljkw90fmhxv2ht630cu9r4q873775,true,5439295.70106,1,0.0227
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwkcxyqynj8ckyek7l0klfxjpfg4ycr09rfuly5wmed4qhsn6r5rz,true,5434011.325216,1,0.0226
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdax5n6yt5t7jypzgrf09d6pswkgtxyskwxu0jsur57ymdqndrkxv,true,5432808.872708,1,0.0226
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw0m36pzgsrr0qgat7zqs45g7cw0usgj73h4xaetw9yt3h6qk9449y,true,5432668.663431,1,0.0226
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw2gkjp8sh5vj85ms33m4chjp2jkv33d7d8usarnfj6ncjvs2jrwdy,true,5429950.441762,1,0.0226
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwgpslzzmk89r0xl2zcm7atyjgk76jcrzwhlnespwejwktfsw9rxq2,true,5422594.739947,1,0.0226
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwnc99pjct36elulvvqx65kkwhep6p6n4gtc3n3y47feahsk7tncu,true,5411635.327084,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdfvr3xznqhs5w9ee70p34evm2f2yt740lfuqh34q3ghedq3xauj5,true,5403329.241395,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwv4u5v06vjwxzvqf03maxkjx6zqaeuelgtlaq2v7085rgyq577dqq,true,5402620.601014,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwc25mv0sq7kem7syj7ae4vjss2m203jhpwzhhyngdrej3sypt438,true,5396678.791578,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwfjllqkvc9l2jmy4mn38fpkajk9sscu003ul2uwwats2zus5vp0ck,true,5391609.242835,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwte206y7lq6k8w7frxdu9gy42c2fry787mwxq8z006ga9vsur374t,true,5389490.126302,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwf9swvuyr7d76nstp8x7wu5cd68wq09r9j0jqyym58ed82q4unxyt,true,5388457.81515,1,0.0225
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwglzncv2wkyccxvmg4xuu8mf7k7v57wg7wvsetqu7vswmscuz93l,true,5383523.945226,1,0.0224
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw2rpavk7gyqt6l7sauv42fxcx5zjw9khk8apgartvem2plsulgtyv,true,5382558.07079,1,0.0224
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwtzf03a2pwgftjvs6t2t9rpf5m7us0hryzw84zuqtccxt9q2v2404,true,5379008.782407,1,0.0224
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdwjzym6p9qv9c7s9y602vzzqg0pthv497s56vwwxp9teas8hgzee,true,5374662.816414,1,0.0224
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdwrxrjspnjuek5mawjzcg3zm58gfxmr2an2sp28vlzm32q555ul7,true,5373930.129272,1,0.0224
addr1q86us4clp3v4jzmxamawqflck7xz7jm8xjq0wkr5pzzfeakchgy44j29gmxjhd8f6ujt62kanwerv5gg5d5tkc242uzs4nd2mr,false,5360232.570683,5,0.0223
