address,has_script,qty_night,utxos,pct_of_supply
addr1qyn3f5jh8kgdl90flrpfcz54yva63e3d8lyczhz7z66237aemk9557vtwfpyn0s6dvq6gwafhhjny5894ux59uzv4acs4hxds4,false,8958658.361134,1,0.0373
addr1q90x5ej8xrn0sf92kah54tls8uwp5p2v2uf9qrt9xhac237waukhu8mujwv5t5rdcrf0hjvwlcd75f4ec23v3wmmfw9qvqdmgn,false,8597537.848407,119,0.0358
addr1x99gcg9us9jfp6gtsrgsenjjreg9ytevv7ha8nvyzuz4ef623ssteqtyjr5shqx3pn89y8js2ghjcea060xcg9c9tjnspxv0pn,true,8437248.75,5,0.0352
addr1qyukp2tmrfhynu7a7sjeqn0ca9qfsjwr2cmx39pgerjhgzhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0sxw7ngx,false,8323244.29,3,0.0347
addr1q95j8lqu00h6vt0ps4ekeeljlwvrprgxtrygvy46xhtcf8hela258t30chera9hlk5n0z360kwuj3udk72t20sstq92qjt2d7e,false,8026891.211845,17,0.0334
addr1qxx4kuj0yyve7l036wswhgs6m339md3aa5zx05qqe7cduyndnls63ud5evuy4ak3xanwmz60jwdraa6nrc5ua7y325wq7khz06,false,8000000.690762,1,0.0333
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwt5yku5hue7h7uv2rd02wst8jhjtel5rdtsx32mddz94lsq7a363c,true,7944268.077787,1,0.0331
addr1q9n5t9w2jqn7ndxcdau772meqps3m2ad9shv63sk8ftqnem8gk2u4yp8ax6dsmmeau4hjqrprk466tpwe4rpvwjkp8nsufuyvp,false,7811800.497417,3,0.0325
addr1q98kksz9ev5x5jhvwmutfqkpa0tn4qezm2kqax5pgtjmfn60ddqytjegdf9wcahckjpvr67h82pj9k4vp6dgzsh9kn8slh7vzj,false,7697312.555955,15,0.0321
addr1qxl69qdy0sqrzkpcx7pf9uwy6h5s5nnpsj24ljy82fjq0al550cmgzztj9z8drl95sexr5cxjsqcvzvk62rhpzvwel3qe4ujhj,false,7669689.088,1,0.032
addr1qxul9uvfyle54x9y7wtrpcukqdy0zefs3uxd3uydwq558qx0hyea5ahshw8dufs9q55dhva4qe7k9gv6ylgd4qd6e4wsd7tfqw,false,7575701.396138,4,0.0316
addr1q9fcxcn6d6sv23uel742jvwqjjfwamsaxuhf2cwzr3rw8zpm6ajnuc0cd2fw738e8pps05yav6xdaa3t5dmtkksln7ps57593d,false,7528649.900014,2,0.0314
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwfm6ajnuc0cd2fw738e8pps05yav6xdaa3t5dmtkksln7pskjwykh,true,7528649.900014,1,0.0314
addr1qy7vs262wk47vg9s72h2cen2dfur6lzs3nnra2gyahmh5qe3jl00xutghe28wd2cj7uvgvnm6vjdymp29xtn2yjxkm5qsp2a9a,false,7505000.0,1,0.0313
addr1q9ljk6rysvfnpy4v4939ggt8j0fvu2ewwpqt0zcw796h0y5u7u3qfgsus5g5p8mdxch9cqy5s739z9wf2acjc05wk80s3scske,false,7334589.0,7,0.0306
addr1wxhew7fmsup08qvhdnkg8ccra88pw7q5trrncja3dlszhqczc0qfe,true,7196056.764652,5,0.03
DdzFFzCqrhsuQV5ohP1EBh9d4UjmmWDb2Vui2s2SACSBDeEW74kHhp3zj9hvLFDb9mK7hRr7fbctu1UYatPaF1omXiXPwf12bn7DQvbT,false,7019171.654279,5,0.0292
addr1qx8t3qmvznpd9l3k98hrrsfaudcagxsturgcw9tjx9pgxsncln8lvjldwqj7392vplyjk0q8ekg9q3kvf4m2r3vump2sa4nyde,false,7000000.0,1,0.0292
