source_tip_block,source_tip_epoch,source_tip_time_utc,funder_stake_address,source_type,source,transaction_count,associated_lovelace,first_event_utc,last_event_utc,attribution_note
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8dmqlfv95cyr9u7gskm03cw4s7vm06jq0kctse4klk4fycpm5q4j,4,139313081369,2023-08-03 18:31:13,2023-08-30 21:18:54,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uycm9zmml2y2jsm4x9gxsuyjz5q32qyuytctpfynpxxg6ucwduhay,1,136749106664,2023-08-04 13:15:18,2023-08-04 13:15:18,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxh84mlmced4974c6vflrfxer73r8y97fgvltz48y83u4ws7ypflk,1,128609676847,2023-08-04 13:35:18,2023-08-04 13:35:18,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,8,15557666241,2025-05-29 16:57:51,2025-12-30 15:14:41,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,address,addr1w8p79rpkcdz8x9d6tft0x0dx5mwuzac2sa4gm8cvkw5hcnqst2ctf,5,15449947639,2025-12-30 14:13:29,2025-12-30 15:14:41,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9fnh9vx7rae4t740rsdq92wj3udyds5uumwkww35vxc4xgffy4va,5,15449947639,2025-12-30 14:13:29,2025-12-30 15:14:41,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8520s54w57rw6pmshw3yz2p2v5wp9g2ac846qn4wm0rx5skeefny,2,3773612159,2023-08-03 15:21:25,2023-08-03 15:30:56,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u90pa47mlzz6wkj6vvmpkamlmzwpmhde826wkhgmych5qaqh00nqj,3,1892500000,2023-03-29 20:09:27,2023-04-06 14:15:00,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8wfaukjh093cyrdreqj2lwmzed3sgu8cfx5f5qrr4v7zpqfwh6e0,2,1704240000,2023-03-29 20:26:09,2023-04-07 17:25:20,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxptzz4gkehxj5ht85xdjmad5qt0mc00dxmyxd84e2dgrvsla9k0u,2,1671620000,2023-03-29 20:15:34,2023-04-07 17:23:30,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u86fu5d22an0rh4gelka2rkmc9n59hfcdyuzy7c8w9ttchgzxhpjs,2,1668890000,2023-03-29 20:05:55,2023-04-06 14:12:17,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxu9qydee4dv8lclqe0jzcq6yvymdn54ulftjvw4s2re5zq0zutav,2,1585490000,2023-03-29 20:36:44,2023-04-12 14:33:13,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxesk0qucuhgcq5yt0j0kfvn5avv6vz2uxjzk5r6ld7xcfs689zv4,18,1556173081,2023-07-25 07:03:23,2023-10-18 06:00:57,full target deposit associated with each distinct input identifier
