label,role,cip129_id,epoch_no,epoch_start_utc,voting_lovelace,voting_ada
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,581,2025-09-06 21:45:15+00,24231766487035,24231766.487035
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,582,2025-09-11 21:45:08+00,24333934173130,24333934.173130
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,583,2025-09-16 21:44:54+00,24344767971985,24344767.971985
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,584,2025-09-21 21:45:23+00,24455360745052,24455360.745052
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,585,2025-09-26 21:44:57+00,24481455396902,24481455.396902
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,586,2025-10-01 21:45:29+00,24521397018679,24521397.018679
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,587,2025-10-06 21:45:11+00,24529651437585,24529651.437585
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,588,2025-10-11 21:45:16+00,24439584354557,24439584.354557
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,589,2025-10-16 21:45:04+00,24469469233862,24469469.233862
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,590,2025-10-21 21:45:28+00,24384318257259,24384318.257259
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,591,2025-10-26 21:45:30+00,24388826827750,24388826.827750
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,592,2025-10-31 21:45:16+00,24400367886156,24400367.886156
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,593,2025-11-05 21:44:51+00,24396933374587,24396933.374587
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,594,2025-11-10 21:44:57+00,24298622779169,24298622.779169
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,595,2025-11-15 21:44:54+00,24312884076014,24312884.076014
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,596,2025-11-20 21:44:55+00,24380063273785,24380063.273785
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,597,2025-11-25 21:44:51+00,24393819995257,24393819.995257
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,598,2025-11-30 21:45:34+00,24422102060578,24422102.060578
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,599,2025-12-05 21:44:52+00,24904984839152,24904984.839152
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,600,2025-12-10 21:45:01+00,24799519029153,24799519.029153
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,601,2025-12-15 21:44:58+00,24846126026456,24846126.026456
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,602,2025-12-20 21:44:51+00,24025990517889,24025990.517889
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,603,2025-12-25 21:45:03+00,24833788339724,24833788.339724
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,604,2025-12-30 21:44:57+00,24863843847838,24863843.847838
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,605,2026-01-04 21:44:52+00,24857108072446,24857108.072446
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,606,2026-01-09 21:45:21+00,24865023266576,24865023.266576
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,607,2026-01-14 21:45:07+00,24811866935724,24811866.935724
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,608,2026-01-19 21:45:05+00,24821920487344,24821920.487344
