snapshot_utc,trace_schema,root_combo,latest_pool_id_bech32,ticker_name,pool_name,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada,min_trace_depth,latest_pool_active_epoch
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,ADAFR,ADAFR,465,324,557358644251,557358.644251,10,636
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp,CRDN1,"CARDANIANS.io #2",225,117,554205619537,554205.619537,11,632
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,TECH,Tech pool,28,16,548640765639,548640.765639,12,631
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qfxukshs4fkcrflzdnxa2fdza5lfvew3y6echg8ckaa4q8m5hyf,NEDS1,NEDSCAVE.IO,377,234,547577590892,547577.590892,10,617
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1u6kpt8hgqcm596kukj97ghefmxn8ks2cgwg8qqe0gtgscnufk5p,ATLAS,AtlasStakePool,117,59,540158443038,540158.443038,11,615
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo+iog,pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,"#1 Nordic Pool",19,14,523271278094,523271.278094,11,508
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,BLOOM,Bloom,188,102,510890814431,510890.814431,11,632
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1pnzwgsgzd6t4788sfr7dxjyusepyq9xaxnpyfcngewqf29t9ayd,PHRCK,Staking Rocks!,573,341,505613488272,505613.488272,8,584
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool138m7hevnvp664cmtralju857t5k7e4frpnaevtgpuykggr50kne,ITC,Into the Cryptoverse,269,174,495797509322,495797.509322,10,561
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,1LOVE,Lovelacepool,80,24,495179885020,495179.88502,10,578
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,AzureADA,274,188,485693668893,485693.668893,11,600
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool13mas2wthxs28zftxskcsd8t87jk2w9ntc0u5uflt45sh7lcvs8h,EMUR3,EMURGO 3,88,44,482651402580,482651.40258,12,590
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,cf,pool1c7jrfce3zxkk9s9enzpvwj8fuayvx3pdzc2k2es6mrw6gsfcjep,EDEN,Garden Pool Three,6,1,479389217308,479389.217308,14,267
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool13crd2ljx87988umk22er6ynwadfwdqupdpcq6prc6v59z62kxse,BLOOM,Bloom Six,120,80,477285150923,477285.150923,11,586
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,XSP,X-StakePool,23,15,476095901036,476095.901036,13,525
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool13rt3ngkek4l876980ect869cu978d36dcyh22ts4nwuf7ncq02u,,,20,10,466180473955,466180.473955,11,637
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool193uec04jldvah7r52q86wl033g4v42x0aste8jfg9999qepaxfp,0AAAA,AAAA pool,19,14,463244458097,463244.458097,11,615
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,ADAvault Stake Pool 3,91,51,461966193054,461966.193054,12,590
