root_seed_id,pool_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,pool1z693lvvpt87rkyn0j6gfy36zlnaw9m9djnsn6a4gy3822vykzau,1,1000000000000,1000000.000000
cf,pool1e4tjrl3ve7dcqwa70pexds6f8llk0txx09gm3r4m472ej4p6473,3,994604184854,994604.184854
cf,pool1dxkf7k3qwnpgpxqfye8y9jvk7lver3fk8dq7c4dpzezyyx8cf5c,2,970066670102,970066.670102
cf,pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp,8,952437145613,952437.145613
cf,pool1qqq6qpcq3tvnqzy7r03dush0qk9vrr88v85d6fj3ws9h5zj0h8w,1,932667825567,932667.825567
cf,pool1urgvu6zk422j4xwtxa45lzpd6dm25msfthpkezr042secrtuwzc,8,879052696906,879052.696906
cf,pool1tpr44v3pxth9j0ff246dvsryxpanxwx52f024ws3ecvn72sgv55,1,873929512543,873929.512543
cf,pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,4,841972198539,841972.198539
cf,pool1mh4ng2ldxk4sqfppzu6r4knxrk6e87e9c4wgrred84uy7xauzlh,2,832568155358,832568.155358
cf,pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu,49,803275167746,803275.167746
cf,pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,3,797835830458,797835.830458
cf,pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,3,793301692775,793301.692775
cf,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,5,764037565966,764037.565966
cf,pool170hmssk80z2ameg7jhj5m8psnkjejcc77vfpd0875yggxhhntd0,4,740973208311,740973.208311
cf,pool1hntu7agmt8u5j9c20ejen7dvq0jfkvkpnul3mrdd8tppqvwfvt2,9,721427434034,721427.434034
cf,pool13crd2ljx87988umk22er6ynwadfwdqupdpcq6prc6v59z62kxse,5,718467648707,718467.648707
cf,pool1qgmwcxs8d8qmr0vtvsqd9u8gugrventh5dcqukmu79e2sgfuu8t,7,713685496796,713685.496796
cf,pool1v5u6wzakuc25q3zpx04t8gjz3rgu60wuxkv2mh5nga23xjkc86s,3,713569045219,713569.045219
cf,pool1ppznyu6qrvlw9uuqa3tslryjd40nh56jyvmaqw6kdf4kzq3y8kh,6,711248746151,711248.746151
cf,pool13qdkwy5y88ncr5qpjrh8hgtf94d0zw4wuhgezjg3hvlyyrh37c7,4,709763453178,709763.453178
cf,pool1qvhss6kxmtl27nr4ugvypayhvt4a4vzll8p9csdg2v8q7d22llu,2,698128750408,698128.750408
cf,pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,5,678537892381,678537.892381
cf,pool1qnrqc7zpwye2r9wtkayh2dryvfqs7unp99f2039duljrsaffq5c,14,672668424462,672668.424462
cf,pool1j6dh3ynys827j38976q0q3s3c9hpzgx40kjcq4472h6m7d3t0hm,3,666155613546,666155.613546
cf,pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,3,658648832328,658648.832328
cf,pool1jq7r3evstu2c040vlry8tgvpwf0mfvft86cxecwjpwcuvvqfu2r,5,656690671081,656690.671081
cf,pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,11,646631705291,646631.705291
cf,pool1x0qm7xsyh2za3ltprxsgael544je4hg8tc3q3v5gv232z8jt4wp,8,624823833327,624823.833327
