table_name,data_rows,bytes,sha256,last_commit_utc,age_days_at_refresh,snapshot_sensitive
staged_cross_merge_comparison,3,343,8f5ae8e58b26d60dc292fb3402f6ba09e5d00daf82aac3b7b45cc8027f07713e,2026-05-29T09:26:39-05:00,77,False
staged_trace_depth10_summary,13,315,7083694a3da880f952d379179cf66a77446febc9b3ceb67fa51cd5efbf9fef8a,2026-05-29T09:26:39-05:00,77,False
staged_trace_depth16_profile,68,6774,1319c57f70d5347e89a1c9a055609b7e5eb4d029e1b1a28681b1ce9c7cbb60aa,2026-06-11T09:10:32-05:00,64,False
staged_trace_depth16_summary,22,597,b718fa880bb1d4b73523728809f51c64d9b14465dd23059a62ad38b3989e31a8,2026-06-11T09:10:32-05:00,64,False
staged_trace_depth3_summary,5,134,1a00c7680e86905a86ca69d71e3e67938cfcf1e52ef8187ad6649f1dcf58ccf7,2026-05-29T09:26:39-05:00,77,False
staged_trace_founders_depth10_summary,12,247,f370704706e1ae8664cdaacd0a2c7bd4241a0a8c10d09d7ff5f1342e402193f7,2026-05-29T09:26:39-05:00,77,False
staged_trace_founders_depth12_summary,16,353,b64a9d1d9c80171a99b3c84b29e91cf6c38b34342a5b9268d319a1da97c701b4,2026-05-29T09:26:39-05:00,77,False
staged_trace_founders_depth13_summary,18,414,714bfb7bbda8ce5f13667aed9e2f056a587263c05f81f78843167976eb0ceacd,2026-05-29T09:26:39-05:00,77,False
staged_trace_founders_depth14_summary,19,441,1af304eb18739b72ce8373344950bfd4aa68e90627706423546efa994ced2d1d,2026-07-03T10:21:11-05:00,42,False
trace_stake_credentials_db,35,3739,47a80d5ec9360e0fefdf0ed6c67c7aa343609c6e8fdb2a40aeab938ad7e27435,2026-05-29T09:26:39-05:00,77,False
tracer_address_summary,72,24348,4efc1fc233eef7e6c64d640130899b7fe3501a58b926f01f80aba7e8ab39667d,2026-07-24T15:03:32-05:00,20,False
tracer_all_outputs,4383,1928859,0052da59cfc4ba74af680a74dca9b2d8c21e339550e237517c298e807bc6e395,2026-07-24T15:03:32-05:00,20,False
tracer_asset_current_location,505,193478,3bec414f1a7e032c6a5b1e7644e3567601ae843f6a52dab2df477cba3b8c9d9f,2026-07-24T15:03:32-05:00,20,True
tracer_asset_path,4383,2203189,d1203f79306002edf73648de699b85f9741394be0af6aef2b100f687f38ac599,2026-07-24T15:03:32-05:00,20,True
tracer_current_utxos,505,217647,f82e4d21b5d59b1cab811d5542b9333a2929ba16d44fdd85d1a5e0ddc18e9015,2026-07-24T15:03:32-05:00,20,True
tracer_deposit_claims,103,84260,77281c460113b4667265771c7e428472c85c60c75a54adce94c16e8db62d4769,2026-07-24T15:03:32-05:00,20,False
tracer_export_tip_receipt,1,167,fd529299a7bec815a76622d70c70fa4cfd4b72047612bc9a7ddefa11d948f189,2026-07-24T15:03:32-05:00,20,True
tracer_method_receipt,1,645,b13b89a1ad79708149feb889169085fd1112294d10ee285edbb294013ec9964b,2026-07-24T15:03:32-05:00,20,True
tracer_mint_events,505,217773,2075d85d931b284222a3f37283222d61b223c586d5faa1747c895a3fe993ddc7,2026-07-24T15:11:24-05:00,20,False
tracer_mint_funding_inputs,17,4452,922243d38d29a73a6ad5f07a029d85b2120e8f53236e5675308b4afc14f5ec09,2026-07-03T09:57:17-05:00,42,False
tracer_mint_tx_metadata,17,95780,2c5f420804d2ad154fb48db87278586f6b999687b7481b8f4d8340daaebdbf35,2026-07-24T15:11:24-05:00,20,False
tracer_movement_timeline,38,873,4853d28da060bc0a4af4cf54819c4378dd864621516ad118fb76ef99a78589ed,2026-07-24T15:03:32-05:00,20,False
