merge_tx_hash,epoch_no,block_no,block_time_utc,root_combo,root_count,traced_input_rows,traced_input_lovelace,min_input_depth,max_input_depth
fdf44bac7f12ae5086e9d3663297a600504800558b45408fcde47279069f7ab4,31,689565,2018-03-02 13:05:31,emurgo+fourth_entry_781m,2,2,63634,8,8
a7f975e32275306bf92535cb2f520f94c61c2316fa6e44cfa1350845c91512ba,31,689631,2018-03-02 13:27:31,emurgo+fourth_entry_781m,2,2,588436,9,9
43d6e816d01a1fdbf4246096409451068b53adee94847541925d296c0b7668fc,32,701697,2018-03-05 08:29:31,emurgo+fourth_entry_781m,2,2,197129201372862,5,5
3729cf91d64fae1526fdecfdf7163faa27da1be8cb808c9f76460b64d8af4e22,32,709410,2018-03-07 03:21:31,emurgo+fourth_entry_781m,2,2,196824919030370,6,6
6f3bfd77d34bfb10df9133a5a0c52d00a822b0a7948f9207bb498641a767f64e,32,709414,2018-03-07 03:22:51,emurgo+fourth_entry_781m,2,2,196806188687878,7,7
ced3c396703409f7aeca2ec204d719ef6b627e9a1cba2a1d013984be887fd004,32,709462,2018-03-07 03:38:51,emurgo+fourth_entry_781m,2,2,196774970345386,8,8
54430f850bab8da898680cfedd4816fc69436484a15d089880b2e703b581ae3d,33,724247,2018-03-10 13:48:31,emurgo+fourth_entry_781m,2,2,196712534002894,9,9
2e90cbb35515d89ba8c91af1e0e3829c7c84599e8a1d851ce77fa9c57e74e0f4,36,788099,2018-03-25 08:35:31,emurgo+fourth_entry_781m,2,6,6002000000000,6,7
ca9c6637211bf05b65109f2e1487d97b6a69936b0a9d664231e229f5144eacf9,36,788100,2018-03-25 08:35:51,emurgo+fourth_entry_781m,2,2,818000000,7,7
1400dd0549385c4bedb0a4889ab5a2a0b409c80a2b411cb6f388a3dd420f244d,36,788127,2018-03-25 08:44:51,emurgo+fourth_entry_781m,2,2,19339336930204,7,7
6b51469826eada4791ba46508f6ea7dfd24cd27475dea5a023aff29d6feb46c3,36,788132,2018-03-25 08:46:31,emurgo+fourth_entry_781m,2,4,6220730491672,8,8
28d8f537cf13350fd2915cccc906dd74fdb84a16d2496efaf96140639abe1a4e,36,790051,2018-03-25 19:26:11,emurgo+fourth_entry_781m,2,2,47900,9,9
d676ec2762da588c53408743a5ffc5cbf155c8bba921d4b1aa41e4c588ab6533,38,835741,2018-04-05 09:16:31,emurgo+fourth_entry_781m,2,2,201111955092826,3,3
caa4f573f1f2c1cd98c51f2bad2c8ef8f69a69689e03ee3e48467e173836b9bf,38,835743,2018-04-05 09:17:11,emurgo+fourth_entry_781m,2,2,40000000000000,4,4
fab8700d8248933b568a8cd0d259a538e758c5bf0922c4b9aa0573410ee746f6,38,835755,2018-04-05 09:21:11,emurgo+fourth_entry_781m,2,2,28199600000,5,5
aea8389723cf0c6ae928c2af02ba032a4038143bdddc38f1e8695c7221d263e6,38,835757,2018-04-05 09:21:51,emurgo+fourth_entry_781m,2,2,39971800057508,5,5
1bc9097185b1881b1bb2d6d8b78f7a985111c3cb1d1d73ec07c0340687824bc7,38,835764,2018-04-05 09:24:11,emurgo+fourth_entry_781m,2,2,39944176670282,6,6
6fbdc0954ab4342242dbe3278c86e2c342987f6ac087c284f2936034221abbfc,38,835770,2018-04-05 09:26:11,emurgo+fourth_entry_781m,2,2,39804176727790,7,7
959516d451f4bd8d02b185a849a05266ae4379c82117dd85101f56c6d6bd81ff,38,835770,2018-04-05 09:26:11,emurgo+fourth_entry_781m,2,2,27623044734,6,6
1098ccbecdecb7a79a747c4e88b5146e28ce4dfb31b7f1a4ff4886ce3c0ff1b3,38,835772,2018-04-05 09:26:51,emurgo+fourth_entry_781m,2,2,139999600000,7,7
c59e7198215c9c34777a46f0484dba15f39ffd3084ec6878a1b44fdc19412aed,38,835778,2018-04-05 09:28:51,emurgo+fourth_entry_781m,2,2,39802546740058,8,8
f5dd334a52c305cbf296461a9faaff9aee36fbaf696cfcd952562dc15a03cb8f,38,835785,2018-04-05 09:31:11,emurgo+fourth_entry_781m,2,2,39590493355566,9,9
220a005acc37b3994283483c163d912d9b8359706d96c66aa0e7074dc6a7c6f6,38,835786,2018-04-05 09:31:31,emurgo+fourth_entry_781m,2,2,212053042000,9,9
d21ec1f3388631709a35c07f3ba9d22915aac4c1beceaafc181700ffab4cee4d,38,835845,2018-04-05 09:51:11,emurgo+fourth_entry_781m,2,2,47724,7,7
2bdcc851fad9dca52908f4923b55e2453d2a6029adeaf72a30d0f0406875f364,38,836355,2018-04-05 12:41:11,emurgo+fourth_entry_781m,2,4,63194,6,8
8a1f258c2c996598219470bae6f28cadba72a5b5fe87dd27eaca822be8f3f7ed,41,892874,2018-04-18 14:42:31,emurgo+fourth_entry_781m,2,2,6225939238696,9,9
8c9e8859d057cf8c775facd3bbeb6ac0a5f7f2d88905e9b3b42e2d2186646846,42,918944,2018-04-24 15:33:51,emurgo+fourth_entry_781m,2,2,6989331315016,7,7
1d9d31f9eadb3d78869053f59940a051ced05e1740fac938adebf1439a36c33c,42,922857,2018-04-25 13:18:11,emurgo+fourth_entry_781m,2,2,668797734,6,6
80388fcab839338eb85b7df9d7ffad6d19d8c195381fe2d629f4d4d315adb9a2,42,923019,2018-04-25 14:12:11,emurgo+fourth_entry_781m,2,2,3107970990478,7,7
a1c689ec216b0a3e50445d139eb7474e1a17f616f2087877a77cf93b5060f270,42,923057,2018-04-25 14:24:51,emurgo+fourth_entry_781m,2,2,2999800000000,8,8
8e4621e102e3100e3c51b84d1eda6ca7c173036f14f63ba9bf38ae57a83bdfe0,42,923060,2018-04-25 14:25:51,emurgo+fourth_entry_781m,2,2,2999206650652,9,9
50296301587f683b8bd515397f221ab9f04b8cdadb2573a6411ba73b0ed8091b,42,923130,2018-04-25 14:49:11,emurgo+fourth_entry_781m,2,2,563800000,9,9
278f962ea9d7e8e91063e693153a160250fbf93193b61fe82aa8938553e46051,45,977341,2018-05-08 04:00:31,emurgo+fourth_entry_781m,2,2,62436000000,9,9
90de0f6e272d73682d50e63aa5841d4e445f9e6ead54ba10ac3393d0113810f9,55,1193676,2018-06-27 06:16:31,emurgo+fourth_entry_781m,2,2,16066663657508,5,5
3906bd2d0574dda6f8581ff1a6ca253fba387bf3e1d2cc538278f5b18fa4e984,56,1223032,2018-07-04 01:22:31,emurgo+fourth_entry_781m,2,2,15666663315016,6,6
6c60b147915031b6b7cc349c33fd1bb29e51b4039f869bc11f567d0ddb6df361,60,1312046,2018-07-24 15:58:31,emurgo+fourth_entry_781m,2,2,15466662972524,7,7
ad20b31ca0f485f05e440881b7f6ccb1d8a6fd41b650aaad291b1ae5654fd4e7,61,1330739,2018-07-28 23:50:11,emurgo+fourth_entry_781m,2,2,15266662630032,8,8
