hop,destination,enterprise_only,txs,total_ada
1,stake1u870q3tlyku4un99j8whjyr5fzygcw5939qm7nrq7rc49gqkm3w29,f,1,311016.478477
1,addr1vy897kf234tgu2vkf4gzm3hk9cm22056syzcyvswq0u5kmctvfvf6,t,1,299661.918593
1,addr1v8jhmcr40naeteml9c5ttt45slxz87vvpzyq8rxrv47j8tslx83tn,t,1,284824.018579
1,addr1vxxr5mupwxmfgty3a9cv63naznp0nmrkglyj3swl9jyc08sen0jqn,t,1,284662.444993
1,Ae2tdPwUPEZ8a63pbDPDcz3aEHXipqdbaQyFLYL9SQsRvQrW9UJeppAqeZg,t,2,267414.639958
1,stake1u9f32k37g3yx2yrynm42qfe4454wfwxvjz7n2ttkg7q5lfgu5m38y,f,1,250869.260953
1,DdzFFzCqrhsxNzbjWVrr9xv4nU1Y3SKJSjkkjGuq1U2TZobYK2NevNeVqDrJy3TcDRbjesjCa52u5yZvdk1Vy2SCVXDFusFS4Nm2N1ox,t,5,238110.600000
1,DdzFFzCqrhsyj89nBnnHRDFEu3UGgHRHYo5b9vLeoPxex2ZfuXjxTvqLJdwe8hDk4XX46u2VURKrsTT2BfUyH24rsieGV984EZx2A6PV,t,1,233579.819979
1,DdzFFzCqrhss6cSSQcAZu8jHgRACQiVUw2QJNpYUGF49xqp5eMpfDhXScFAPS7u2YEK5Wek2UsJwFfmkJYoTU5oNQGPFUBoaZPz86Qfx,t,1,230163.819979
1,addr1v8uh9qn77jjnr0cphnvyhv9rlqhaytxr04au2z5slewnmwg94lzqz,t,2,219376.100000
1,stake1u8xnvj99yft37zff02ag4fuhwj5qzp3qjrzuk7cd4wm2m3c8a4fur,f,2,215260.639958
1,stake1u9xuuarxury6acd82efafgav5zxv8jjn9kx7dgnc7vqmxgca6vspq,f,1,206690.298227
1,addr1vxp9slw23f02tyyd5t4y0rftcpqpqz29cshrsrchudc0ecgydzye8,t,1,206653.087344
1,Ae2tdPwUPEZ2vx6VDn44iuaUPqmNxVdittFPkAFkGgkMk4oce7aqvycLeHc,t,1,201764.819979
1,stake1u8afgl4qdnf2rrrusasm6lp9dn6jljcq49n4dmhtddncxdqr9nvsv,f,1,199999.819979
1,Ae2tdPwUPEZHk6pFXcpemVWuumbHpgYhQLCwRMc6cqhx5qbVArpLbUmm5a1,t,2,198889.639958
1,DdzFFzCqrhsoDehMNNjTRxuTiRiLtSvaDvxwX2Hfq5wBmRBLYupcmD4yFwJP5DAGyXKGSJt9jwhxDUrkuxazqufTy6xkWVSETRjVs5uc,t,2,196255.639958
1,DdzFFzCqrhsf2bdWwUShg1PkwKTxyj3bx79sae2kBf2Creg7uCEPj4XxgvfDpLoHdWBN6i5bpGoYYTMnvSViwqM2dxwNJmfgVYcigRbM,t,2,194859.639958
1,addr1v80vf2qt9mnks7lx9lgjy4gdtwhwc8cak42vgcsrj97uefqpjqqfm,t,3,180019.800000
1,DdzFFzCqrhsdoHH4z1vVtB1U85KwVyNmnNYuZUKVeobNX8RQqUdvBdTSeofDR4Cm2yF3CShrMJ7HUhdXyeCE5ZZ2LxaCc1TT8twpREQs,t,1,179000.800000
1,addr1vy9f652enncwd9pxtgea093zhacu7zdw3kf5tf4h5cffkrgf7w2hf,t,1,178789.179159
1,addr1v88twt64y3tscy8evuqgsc33t9crdqphqmugn0e5tuzc7vsdwcwp9,t,2,171060.639958
1,stake1u8yuspwf57pxkwc9z6kakax4d2wuslwrlv5rjqhr25lsr6sjaul23,f,1,165144.208808
1,stake1uxm5ev2utpuy0rdw3lf0vjetmpt7v93mxvzn9kt5z3f4mds0an2eu,f,1,164209.141396
1,stake1uylkstu095tffff43d0nfn39tyn5q0gtc8yynggq34c4llc7jname,f,1,154214.598474
1,Ae2tdPwUPEYzoSkAhMyank7VY2NL6Z7Fm3mkagM5LHgz6qvRkYMxbq9fHSQ,t,1,147929.819979
1,Ae2tdPwUPEZ9tdPvpm4toYuR7eyrGbE95aHqBzc4AVYamEASDMucsWXb44r,t,1,146478.819979
1,stake1uxlcagysjnuqw4j975kamfyxkhje7f2lv3n6ggjl57fdrfqmtms8l,f,1,143505.627750
1,stake1uy3cd7a52klyn93nge3hmggkfa4ae6wvau3f8ftvt2gdn7gw0k0d7,f,1,137442.638501
1,DdzFFzCqrhspc5f8uRDykAco1M8DFLwJFiBL7kepKJHmvfWwnc6RnT9rAvzKGhPEEs5jCieXnChqFyhkwwThoVk1RbcmViyxDn5dVLaA,t,2,136442.539958
1,stake1u8snnxwcrqvdnw3m33f03wrtgfzec8qjax7m48nurama99g3gr9y8,f,1,135952.497418
1,stake1u9xqp52j65ha8kwvk688qn664yrsqgu4vr5c3zx4lg7trmcgf4xqq,f,1,126532.320647
1,DdzFFzCqrhsvpBJsPDEU6Jhzp2womDCJXweuBi3bYk7dgD6qXDV2AaNLmX8godve8uV6At9dVnEXWZh9CWQiKcKJNeEDjtXR643qqzPA,t,1,119999.819979
1,addr1v8w5vz7njmr92crlejmqnq44wqf6nqtxhkzjxdtmrh92ygckk8394,t,1,118139.800000
1,DdzFFzCqrhsiVPA6CsfEcvcrgHgvVCsY8okQYcn7BuD4YPdZWEh41RhtpsAMWxxDBct2GK6Y3TNpQiKhMa6fMZ5afHCvBD2mW9unEhFB,t,1,117300.549606
1,stake1ux6mcvk5ceas4szrn3up0msnhpx5v3k65etw9t7rdfnxzmgp7ezem,f,1,116846.767314
1,DdzFFzCqrht3PZTtdDCQmvQgqmpdi932AAxq2MUVpfeQY2LWcf2oof7PFwzYFP59hR7MVcCJVLHGFhcpgSzhrbcDsGnUUFmoxFNaaYuG,t,4,116521.079916
1,stake1uyfps59p9zdx33kqwm0lhkpeqvuw27m27ah4jsrrz3tmwqcw2grgu,f,1,115823.817292
1,addr1vy52t2lhnufqvlwt6h9p7atur2etct4mv3lcyu2mzhtpd8qwm8t8r,t,1,109243.819979
1,stake1ux9t5mhysan8wrvfy8qy2t0zxxpyl780ul8qkrjx89zv9jgd4cqpm,f,1,104570.411472
1,stake1u8vdhpdgys5nfj9p2509nr88cmfg7rdwu0rv7thhq09qwqqs095e7,f,1,103957.868812
1,stake1uxl7qg8qmp8mxncy28zmyrctsg6mypgz9g3p252750q730syyrvjp,f,1,102500.033968
1,addr1v9wyfclghs2ntlet6hega6kuawc2u76n5cspw2xtlczydjqfx8pjz,t,1,99999.800000
1,stake1u9a6s26js7zfe696xgpx557tzkk69m0twsurrypa78ck0vqly86gw,f,1,99996.900000
1,Ae2tdPwUPEYwYnk66MguaXuqjR3K1MauWTU3MvpfJZvSTYTyZrvBtt3AreC,t,1,92999.639639
1,stake1uyn0pncn4v5gnlydyqkkyr85nrwtm8gn9pacu72n8tajrxcq868j6,f,1,92236.300000
1,stake1uyadsqqp3yjs8xln8u52ly6w4ld7522vfds40px4rttrdqcla3l7q,f,1,89150.691112
1,addr1v82qk5zpvzn3kg06rq97xft44d745f33uszp6yf3a9v3dwgdky9er,t,1,87312.600000
1,DdzFFzCqrhsvDzxVWn9cUDm69Ju9sUuAsWykXRBKMfnrWRFuJ9VNsemLd5hgQFoeB91aEnNQWngv22K1DGiUYxuCe6MyfmrNEBrqJixP,t,1,86104.819979
1,DdzFFzCqrhtAFcg63JEBkcgiu4NSd37wxgEszxMMFFQFvsduu2h5RgiHUBtbWUAR2oQhCxTsH29g7HQMvWBgHUtvbE9We4MfrdA7fRhc,t,1,85958.000000
1,stake1u88t7cqsqgkjw5p958h28zdukkfhzm5s78syjyvsy9dmmeg5mdghr,f,1,85101.387276
