root_seed_id,drep_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
emurgo,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,4,1025157776619,1025157.776619
emurgo,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,9,923469181596,923469.181596
emurgo,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,21,881495278822,881495.278822
emurgo,drep1u632p38chcackajaw84rhsx7vpsxz4fcetee2tct8pyrgeftpr7,1,820064186200,820064.186200
emurgo,drep_always_no_confidence,30,772089669411,772089.669411
emurgo,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,20,584782119016,584782.119016
emurgo,drep1ysy0kzhamk2cvfzrql50unfj9jkk2zffxtaae5zmc39cs3uec6j,1,532556417500,532556.417500
emurgo,drep1u05yg5ttgkchzpwly339xrc026x27unxjd6vd7dv7umzj2xns0e,1,515633270196,515633.270196
emurgo,drep1d65maj046auj5ccj9mfwmy4xk6gvkmvpz534unz4jclnqgx6qvu,1,514213900491,514213.900491
emurgo,drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,1,471201214259,471201.214259
emurgo,drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw,1,445813050555,445813.050555
emurgo,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,10,387404657564,387404.657564
emurgo,drep1pldju6te2rttusf9lq52fzjk6vscq6zsl9z3tlskwwwgxz40xcd,2,212285680577,212285.680577
emurgo,drep1h95f0wrxasn0fwfajwe8jtjfdw5nd880d073wh2llvxk54rvnus,2,201969434355,201969.434355
emurgo,drep1rn9jm2r7l6cu5jfy53pzzvztayg388n66ll7sghj2dt0uah8u3j,1,195114619991,195114.619991
emurgo,drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,2,186076371478,186076.371478
emurgo,drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,5,185629756877,185629.756877
emurgo,drep1hsy55c300sxskmq0vssqgp8uahwhcdnxxevzysmd7gzmcgzgzsu,2,165199053807,165199.053807
emurgo,drep1m7rzzk4ftvd02w872genpy6kzeyplhdyjeaw9kq3yhmzxtwnfu0,1,90639367821,90639.367821
emurgo,drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,1,76104656804,76104.656804
