feeder_address,untagged_creator_count,total_feeder_ada,first_creator_epoch,last_creator_epoch,exchange_entities,exchange_likelihoods,exchange_categories
DdzFFzCqrhsgEQzVX2kTm3osbewXLZrz1YQdPhz4p1EW2Z7yQ24hxfJskhSrYaGBUiGjXUaeu3DakoPeR25aguX2fboV1P1MVKgyt1ik,2,239.520000,227,227,,,
Ae2tdPwUPEZ1rpDXLf1okRvb7jXPqTSVnznkay4JwFX5g3Cvf7bT75zsN7J,2,238.000000,242,243,IOG,POSSIBLE_EXCHANGE,BYRON_DORMANT
Ae2tdPwUPEZLGQ65zAv7859uYEdJM7HquP5bMfEHKhbLp19vXhjdeUuTJHu,2,115.147000,248,249,,,
Ae2tdPwUPEZ46BuzkzACyv65wYSa3QRNCdspZbGvEv5ngqfp77TWHnVCWGi,2,109.000000,246,247,,,
Ae2tdPwUPEZG4qmdNXS4nm9HW4Dt2bDY4dpSCRUjTvoKqSdTGwiLX1maTP8,2,106.043124,246,247,,,
Ae2tdPwUPEZHqqNQV5ijmnUuvcTohGMZU4mv5nEswVoEjjoSjYi84paJcSm,2,68.138700,215,244,,,
DdzFFzCqrhsszkzTTVLeU8WtmQQ1mZzVjrVbdmfdhM4DN5Mjucron1S5a8BHHpm1dSGQRqjYWzKzj7wgz6p13whC1cnwjfa6S7w3dW2Y,1,1171591.773691,227,227,,,
DdzFFzCqrhshJmkYRj63TA7MTwhYW28RzMn1p69ekAQUw76VVq7RpGNvdXDzKPeAtwac636Poyr2xu3A4U2jTk8dLtFBKfBzoqLJBp3n,1,1109015.577124,227,227,,,
Ae2tdPwUPEZAEHa41LLX4k4jLGqRBr5arXpyd7PypA9YB95PqM9G4sPi9bP,1,999505.000000,196,196,,,
DdzFFzCqrhsgSBYNhFqiDp3fYZwVoJkTjqXjRonxT1hTiMi2WCjnBCNn4GbcTXoZsq9Mf5xprGbYYzR29cjWxYwA8j3E3zhGcVeRECKr,1,835460.657981,227,227,,,
