frontier_kind\tfrontier\tfrontier_ada\tspend_tx_hash\tepoch_no\tblock_time\tfrontier_input_count\tfrontier_input_lovelace\tdest_index\tdest_type\tdest_address\tdest_stake_address\tdest_lovelace\tcurrent_pool\tcurrent_drep
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\t8054b98ad2f94a3ce6d967029b026a5a4d0aaff4a450d1eb664cf94f310706da\t447\t2023-11-08 22:06:29\t1\t275000000000\t0\texternal_stake\taddr1q8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdsplv3sj6rjj8xnffu7etahmxggs0f9p07x32z4w8qdzumqrsquz66j\tstake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v\t360440199684\tpool1af03lvsktpekmnnw333629hfuhtytcgyh8hmlweet4lxs6p56fq\t
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\t37930b57bd6c8216d6957604d5fad12cbd5b1046451d41fc64f8b6b3719f0ed7\t371\t2022-10-27 17:49:57\t1\t1236101770000\t0\texternal_stake\taddr1qy807crqvtpr0qq0ccvptgsvfvpaul2x3ae4vxlgcegrwgswlasxqckzx7qql3sczk3qcjcrme75drmn2cd733jsxu3qa04mne\tstake1uy807crqvtpr0qq0ccvptgsvfvpaul2x3ae4vxlgcegrwgs4mltrr\t99999029373\t\t
(8 rows)
(0 rows)
(0 rows)
enterprise\taddr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t\t13736202.602695\te8b9d06f346fb0ffac61d17c98f3e23d06919bf4b6cf5fd01c9c1201f1e374f5\t366\t2022-09-30 20:43:43\t1\t1236202770000\t1\texternal_stake\taddr1q887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4w0ayxf76m3w7e0264vdu4w46vwhamjp22yekxf2s2a392sjqwpcp\tstake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j\t12908209442048\tpool1cyq3v3v43hu7spwlfxdm6vq9djpsjjueerhlu5qr2rvd57vqk84\tdrep1r497ue4s2pk737mmvy3erg49jlql3lzc9farq5hqevhfcrwmexm
enterprise\taddr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t\t13736202.602695\te8b9d06f346fb0ffac61d17c98f3e23d06919bf4b6cf5fd01c9c1201f1e374f5\t366\t2022-09-30 20:43:43\t1\t1236202770000\t0\texternal_stake\taddr1q9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40utkfh8427egt8rkugjmq3gh5fertcktcjcf86epxljf2lcs642j5p\tstake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh\t2000000000000\tpool1xn4kqt45xh3udf87kmtkdfz8xh9qn6trlqsf39eusk23ufmxhgr\tdrep1r497ue4s2pk737mmvy3erg49jlql3lzc9farq5hqevhfcrwmexm
enterprise\taddr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t\t13736202.602695\t45e0082ff3efe46147d1d134ea12c1bacd469aafb2c7f67c8cb57f6e7c39e24c\t362\t2022-09-07 22:27:14\t1\t555232695\t0\texternal_stake\taddr1q9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40utkfh8427egt8rkugjmq3gh5fertcktcjcf86epxljf2lcs642j5p\tstake1u9mymn640v59n3mwyfdsg5t6yu34ut9ufvynavsn0ey40ugqdj6lh\t838124146835\tpool1xn4kqt45xh3udf87kmtkdfz8xh9qn6trlqsf39eusk23ufmxhgr\tdrep1r497ue4s2pk737mmvy3erg49jlql3lzc9farq5hqevhfcrwmexm
enterprise\taddr1v98pnns6yw8zja9uxzufddpm8tsk5swxf7vv5j4vqjlswgczd4d2t\t13736202.602695\t7274d456da5d28cada18bc288abb404b85fae91d86c6a661c60bc2873be70110\t372\t2022-10-31 18:46:37\t1\t10000000\t0\texternal_stake\taddr1q887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4w0ayxf76m3w7e0264vdu4w46vwhamjp22yekxf2s2a392sjqwpcp\tstake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j\t172300686394\tpool1cyq3v3v43hu7spwlfxdm6vq9djpsjjueerhlu5qr2rvd57vqk84\tdrep1r497ue4s2pk737mmvy3erg49jlql3lzc9farq5hqevhfcrwmexm
(4 rows)
enterprise\taddr1wxtwkls63ae00apdncn4hlxt6jala8367weqam9srlmul5g78wtm4\t10110332.0\t5a053df193c63c50d5af61618073470afd56b9bb32ae86d96562ef24b6179e5b\t391\t2023-01-31 21:50:25\t1\t10000000\t0\texternal_stake\taddr1q887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4w0ayxf76m3w7e0264vdu4w46vwhamjp22yekxf2s2a392sjqwpcp\tstake1u887jrylddch0vh4d2kx72h2ax8t7aeq49zvmry4g9wcj4g3gty8j\t278716275347\tpool1cyq3v3v43hu7spwlfxdm6vq9djpsjjueerhlu5qr2rvd57vqk84\tdrep1r497ue4s2pk737mmvy3erg49jlql3lzc9farq5hqevhfcrwmexm
(1 row)
(0 rows)
enterprise\taddr1wxxaleu8a0feusutn3ntnqfg3a55hp0t5l2hqjeau0wg7cc4262zv\t3378040.0\t48f66601eb8c0dbb6b11261acc750ece621bccfb32f6784aa1caa4ea8c65a163\t473\t2024-03-18 17:42:13\t1\t3378040000000\t0\texternal_stake\taddr1q8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdsplv3sj6rjj8xnffu7etahmxggs0f9p07x32z4w8qdzumqrsquz66j\tstake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v\t36569107763792\tpool1af03lvsktpekmnnw333629hfuhtytcgyh8hmlweet4lxs6p56fq\t
(1 row)
(0 rows)
