dest_address,ada,rows,frontier_count,label,label_category,label_confidence,classification
DdzFFzCqrhsqLbvTmyjtnFLLt6A8HuNM9Xbfemnu63SAzb46pAzC5bTGPdNeBm6HypV9T9eDoFUzoCZhgeBg7htBnRF4SNAX2UW97Ug6,216837.691093,1,1,,,,enterprise relay (Byron-era)
addr1vxl7ut5dhd8n9dx7rmzlsq8vpd2tqedacufpsyl6z9vrkcgds5crj,208000.0,2,1,,,,enterprise relay
DdzFFzCqrhsxeyv72Rwoy7ftjR2ZHit5UYbjp2oGES7L1CPNYBZHJVnW4E9u8fjCTWb3LZqQQXW7JinijDPcbdWa1aJRpDWxMerkWWyV,200000.0,1,1,,,,enterprise relay (Byron-era)
addr1w8pnjdf9qusshun5rpanrj3z5spty06dru6arn7spt3pyhgk7zd9g,183000.0,1,1,,,,enterprise relay
DdzFFzCqrhsstddrEqS5KpacUhNapL8wmdVTmyiyjcAJN8RtRW8TFbhKeeNmUnfCozsbjezLz8upuYxQaLhLd3TjFfRgyZj23epCSFzF,150000.0,2,1,,,,enterprise relay (Byron-era)
DdzFFzCqrht9LwNKHiT7DQP1sDBCPRDh8zL3bJyN1vLrkA16h31CFSvFRo7rbcoidPrLcbQHX2pGGdENwpZFEBKjWL3oW2sjni6RnYTU,130002.0,1,1,,,,enterprise relay (Byron-era)
addr1vy8qgshg59p47wgfdcenm7rq9v23jl6vrvstncw9zjksmkqea5jmm,126907.838501,1,1,,,,enterprise relay
DdzFFzCqrhszFALY4r7DJkrFXmTNXGvNnjcqXct3KHeKQxpAGsSKUJ92vyhdihc8euK3JUQhYtSzYMx39rGeUhQ6YuMjoTrNCoc8PsDj,109121.289807,1,1,,,,enterprise relay (Byron-era)
DdzFFzCqrhtCTEhttm9dEEubWfpRTrg89dKzuyewwiazXDC9vdNVkDPdyHnm6VVXEUZfMzY9u3MrHJSc3DuFG1n86uTNPpYr3bKzZ5U6,108175.493253,1,1,,,,enterprise relay (Byron-era)
DdzFFzCqrhswJs88YcHkLJYhk3qfZaWT2iCWbjjWsPCaa91xLnCXzxEpxGPcfCZ49KZWRb1ouUz2yu37Z6WWjMt4aQgc82wQ5KFrPa1K,102722.617624,1,1,,,,enterprise relay (Byron-era)
addr1vxldj0ytx6krt95h0sgl0vm9susfqx2te6awgh9fxcyaxfqcj2ykp,87000.0,1,1,,,,enterprise relay
addr1v8270s3fm4y4a6xc6kjtkuv0zupqx0kfyadnhcyeeafl8lq4yxp6q,80000.0,1,1,,,,enterprise relay
DdzFFzCqrhsqGyXYXzEtHupc13dd3hDM2BYFzBV6yfFXYNe1FfaGLujNgC5nh1K6mwHsCnVwStSYAiMvm8JfMdRdbfmCrHUL5FdDE2JS,75000.0,1,1,,,,enterprise relay (Byron-era)
DdzFFzCqrhsvrWRTDZhfuLWKaohfR2EX56CxWUNKTF3TATp8ziRE5DScM1pvXQnrhsfU3xSuGHaXxrxCBDvJeXyUpZMzJjcbWhjYgieG,68229.54988,1,1,,,,enterprise relay (Byron-era)
addr1v8mn6dmk7tf9u26kr09a05lmvc9j4k9d940a88ta3hdczqgyt7whl,66354.76715,1,1,,,,enterprise relay
DdzFFzCqrhsj1jdmQDBfpTgnMRLbhvpH4nJHxnE5LtMzuvZMxKSzg8pta3yw1NUSGFEjge68s3WQrd7yqB5UkqG7pwpeic7VFUa6LW7t,60000.0,1,1,,,,enterprise relay (Byron-era)
Ae2tdPwUPEZKnvqdtYNRKBeNYGjp8GtkYDiUT32h6UgFzyjf2TRK8g3SHwY,59990.0,1,1,,,,enterprise relay (Byron-era)
addr1v8wkk8qyumrwu3u7a2c8zdunm5yfu20xuuaxlfcgaw6tqpscurwec,50001.0,1,1,,,,enterprise relay
DdzFFzCqrht47BinXyERKY2PSdVXHYMJCDvXc5upTqvRihgt6Tz7bWGQrLjo6Hy3Jyitap11KY5ZeD2yPPGtdaqpgu2WfVx7SvzUb3Sq,50000.0,1,1,,,,enterprise relay (Byron-era)
DdzFFzCqrht8bjasLQQutdxUzpTVAMXSDaJzTSVi2MCGtG5VDpND4ezP6yUPi8mG1iJRh582PiBCaNv89JA2rVfUrxqbXDcHH98kgA1f,50000.0,1,1,,,,enterprise relay (Byron-era)
