address,ada,genesis_date
Ae2tdPwUPEZ6KFHmfnVUTfMzYjyEK8sM2WX5M8nR3YVLCz7QNguoCUefrkG,562499.000000,2017-09-23
Ae2tdPwUPEYwDMPKSinMmTdrZFXUJvQqtHqryeGcHmTos6KMrV9TxmpsvA6,550159.000000,2017-09-23
Ae2tdPwUPEZ4KHLtvWaqsU73EgYREZV7hbrSxShNfSXsJ234B9U81C327pg,549999.000000,2017-09-23
Ae2tdPwUPEZCQRZitfmeP3cq14aZFv9chdTYbBQrR7NjDaEXL5t5tBH5Cut,545837.000000,2017-09-23
Ae2tdPwUPEZ87QtebTYMRdHDBm3GWGdXvkm3S7TvVutrkUaMruB4ZWDsySP,544142.000000,2017-09-23
Ae2tdPwUPEZ2SLHf8osdSgvxrYRZFfob3dTc5WEWgDmhsdgFihMh7HxsGBm,539145.000000,2017-09-23
Ae2tdPwUPEYy81hCFG9abZP1q6CjyEnajRZWxUS4XzsYzy669cvidcu2ceQ,535855.000000,2017-09-23
Ae2tdPwUPEZ7LYoXVNHnMFeuDAaB2XLjsHme8JFgmUbs7ZgqUUKBe2h21LB,527235.000000,2017-09-23
Ae2tdPwUPEZECMKM2eM1a7q36omV9cmr6tV1KpXjgDX1cEWiT51szzp7mtw,524709.000000,2017-09-23
Ae2tdPwUPEYvpspmTGDCseQF4DwJw45gqsRmxWiGzJmgaBe56zjNXKAUraR,524269.000000,2017-09-23
Ae2tdPwUPEZ6U2aybTq5fFTJWGveJqkwiwJiS98MwFgbMenkyikGHJ4LJNB,522085.000000,2017-09-23
Ae2tdPwUPEYxKgu48rYhjmxpxFq7HAQcMnAGHzJRKkKiWQQinh24HfsV6WR,504260.000000,2017-09-23
Ae2tdPwUPEZG7i7UUsUTUR13yYUF5ghqnLrj8qKT1jrTBXDkPJDdhgVzFi1,504026.000000,2017-09-23
Ae2tdPwUPEZGqoa8UU7naCKFceBn8msF45igKf7aegfgPrzBviGYkPC6Leh,502779.000000,2017-09-23
Ae2tdPwUPEZ5EZ76nNim73bCFbhqDetkEBsD5SKNQFZ8RPa9ruPKMf59b8u,500748.000000,2017-09-23
Ae2tdPwUPEZGMWGbZ1FYDpBZZkJdsbMwYM42Y5pYubLGfsBRdAuejYc2UUX,500517.000000,2017-09-23
Ae2tdPwUPEZHjFFzDuHnEW4UPjkB6KBBvihA9GjpuZUS6MMxAZvwLJ8N4Uf,500274.000000,2017-09-23
Ae2tdPwUPEYxS1vKTVUs6DbsPcjnxKEXCRYSxCEFFonVKphpeKC6GfEKJkj,498912.000000,2017-09-23
Ae2tdPwUPEZD7ZP49yTy2uAQ8ZuDYVgdy8pSBYNzuYV7sjWTGfiVQWXwDTp,492388.000000,2017-09-23
Ae2tdPwUPEZMdEpYd5cWCqpwU4pLhXMkdE63GSiqhw4YEKhNHZpfoCTCtAu,492195.000000,2017-09-23
Ae2tdPwUPEZ7V2KgqgQFfMFC99NkTUxtsrpLrx1sVezhmeft2x8ue63Ny1B,491921.000000,2017-09-23
Ae2tdPwUPEZ2T7o1rH6TuSQjPacgfhLfjcXwHWhrvRCzDrzSb9xBk5SWkyU,490605.000000,2017-09-23
Ae2tdPwUPEZL12MYr3Nnw2H2KS8SEvQupHEteaRPSLHNcgjk21AikXpmnKt,488247.000000,2017-09-23
Ae2tdPwUPEZ1M8H4rXwxB7WsEbSPkmCCGLE1Q15SVe35hiDnxv3CMHkRk9E,483442.000000,2017-09-23
Ae2tdPwUPEZF7w5bjv3d4xBpjQsBFkP6gSd1HiM2CrLh2QTMZXrNeSB7oGL,482456.000000,2017-09-23
Ae2tdPwUPEZ3hWhgdM5BBaMjLz7a9sKvBkuLsSJHbBMBdj5rJ2KQd3DMic9,482105.000000,2017-09-23
Ae2tdPwUPEZ857ZXkb5jVKP1qgggoaRvnP9DYJZT6qDkt51VNuu7eUeUWGb,476420.000000,2017-09-23
Ae2tdPwUPEZModGKLyf99BWvo1CBMzNpPGYBzXD1z4BEys2FwsnFgPMjp7J,473848.000000,2017-09-23
Ae2tdPwUPEYw3FkJ97BSgv7XPW4FkY91Zqo4mxMWa2SAn2i93oAjzMS3h2X,473692.000000,2017-09-23
Ae2tdPwUPEZ8BsKu1sXoQMkFf4BJ9KV69QSUqeV1ofh1oRzWCypvtz5wSTW,473176.000000,2017-09-23
Ae2tdPwUPEZCcz6xjrSWWNdxJD4jp3uJXMnHutfBo8gwt5tuQje2AxD5GaV,472840.000000,2017-09-23
Ae2tdPwUPEZNBfVyM5iFbMP4Pvb4haafPnKgkoHzwzkaiNuKDaNM9GRkDeQ,472288.000000,2017-09-23
Ae2tdPwUPEYvrPhFe6dZnwccWuwbpM2AYubmtSYtF5ZZkcbL6GDjfhxuLjC,472009.000000,2017-09-23
Ae2tdPwUPEZ1ao35h4CtMEQoG6WAEE1QnnaC866r34HaEP48aaxuizEQrZa,471937.000000,2017-09-23
Ae2tdPwUPEZ2ev4qrELyYz1q5vmxtsEuTEod3mSKY7REBwKnhhhS5nxDXaZ,471710.000000,2017-09-23
Ae2tdPwUPEZ2PsE1KG6LDQWkHMfwnNJNRYcjC6jVFmnsGgDcYT5MWhYFXSw,471532.000000,2017-09-23
Ae2tdPwUPEZ3bUTVxWipVWoAXVSsTa1YtHmPQ8hUP2jGvqKpQWLJCTNFtZZ,470865.000000,2017-09-23
Ae2tdPwUPEZEf9DoM47HKFU86dbQA8mxiZ6cWKE2GQAQDNXXLgFiofmhmJ9,470531.000000,2017-09-23
Ae2tdPwUPEYyb533muWoSZdZzv2g5yxndo1S2pkKKXiPQ8nszj8oLwpqP7u,470437.000000,2017-09-23
Ae2tdPwUPEYyjtuYzLnUD9MyqbBqt8QgFizETC99JrKt2NpvBLyDkXBd8J5,470069.000000,2017-09-23
Ae2tdPwUPEZNFjF9f6nv1GmCqMRaHNF9DQti3oFWH5i3efTy5xuX4wPcsM4,470031.000000,2017-09-23
Ae2tdPwUPEZHro2D5h9gZAifcGSXYPbSYCdiXMzSGkrToqdbJPVL5dgqJgr,469837.000000,2017-09-23
Ae2tdPwUPEZMdBiFmkJjZzn9ksBBGyUWSwjLL73mDTjJoMgzr3whksjadxv,469811.000000,2017-09-23
Ae2tdPwUPEZ31coBxPCUWYUhMVXsaLxASxKcr8dtTPEae8tgTCs3cW4gXxD,469809.000000,2017-09-23
Ae2tdPwUPEZBZRPzrsCvbaG3HH89AUtAkBwjeR4pC2WZvXYZ4Ab7J7JNpLz,469809.000000,2017-09-23
Ae2tdPwUPEZ9LaWBFQ4tzitnhfj2G8esD7rfyThP21T8Amsx2qEXXRxUByB,469318.000000,2017-09-23
Ae2tdPwUPEZKb6NbGBfPftxtsX4YPzMGRnzkNzpodstR4tmv1nHpiZMsUN1,469310.000000,2017-09-23
Ae2tdPwUPEZHE4JNQNfCw3wMRaJyKYuAEk2YJcxhbytDL86AXv3Cqi5mCHA,467654.000000,2017-09-23
Ae2tdPwUPEZDW3CsiXDBPc66k7gCJ5aZLcQ7iA8Vk8kPfapgQVRBsSj6u2K,466541.000000,2017-09-23
Ae2tdPwUPEZCmdkPT6SbM6hPvcqLC2bEu7z8ctr6Y8QdPjvpKGjCHab1ne8,466325.000000,2017-09-23
Ae2tdPwUPEZEfSrbHJNi4sYQLKSXVbNmCyDojBtSiDY21Rgri5bbYjaDxPv,466150.000000,2017-09-23
Ae2tdPwUPEZLVbjGiMekk4mZqUZ16UX3Ca3QHFn4kZpE5AZbaN8Wk1aTcsV,465433.000000,2017-09-23
Ae2tdPwUPEZAMVqzu8B3gBay9HTBBH9uEAy7y6QdAspshetaeRGVZaJHSbP,465212.000000,2017-09-23
Ae2tdPwUPEZB4Nw9iju3u3nnmvRjcMyMxvNSg4MTHD1hY4vAL2YBipnYf5u,464704.000000,2017-09-23
Ae2tdPwUPEZK6GyZ1C91yyLi3fuw2YLdJjAVVoK7sZSKsKZLjPQsQj8qSyY,464240.000000,2017-09-23
Ae2tdPwUPEYyQypfJ8Xt3pgykMkHV9mhNpmATfVEZKMAqzdLMyATpSQ61V3,464236.000000,2017-09-23
Ae2tdPwUPEZ5TAZWK5qKfBv3AweRJqXmJeNV6orHNmkAoSSsuZUoucsTgaP,464104.000000,2017-09-23
Ae2tdPwUPEZBeKc6j9Y4SCh9DHwk1Hgt8dZgQvs8XYsTUkPsCBnbhajMBjr,464104.000000,2017-09-23
Ae2tdPwUPEZ5qiv8gcNY8sztUVNkqZtEv4QCRkaKGE8RGNwXvMzRqxZWDUs,464042.000000,2017-09-23
Ae2tdPwUPEZCq2UFHSvAK3bt7JQKFi1KRttSPSzs8GQtMtXdf9aiL9Fw6T1,463042.000000,2017-09-23
Ae2tdPwUPEZLadodPVTi4goF5e1a5zSKukgx2uQ8Rodd4cWn496E2uVQZWk,462839.000000,2017-09-23
Ae2tdPwUPEZMMrvZ29HtSY55MPmUju9e8KQdPfqQPwcUmVhi8KxsV1Ytp3k,462839.000000,2017-09-23
Ae2tdPwUPEZ8g7sY1Tx5sEEZzi5ucfuMhR4FXvhDfB7s3Ny8dymTYBPGHj2,462743.000000,2017-09-23
Ae2tdPwUPEZBdLViUkjT7LtRX2nTrgDzmPLMPvexWp1ThUj2rkPMaPpDDrK,462687.000000,2017-09-23
Ae2tdPwUPEZAARUeAuRxuxavFh7ejJkpUQFb2Y5mLZicjMveJLkXW7tyNdA,462058.000000,2017-09-23
Ae2tdPwUPEZJ9hiJb25GTjMKXHdY1JLL6brqvBvzHuDTpGLc59BdvE6HKef,462050.000000,2017-09-23
Ae2tdPwUPEZDDnqXU4sWu841Ghenewfk1Qy8QLnHLA1SpR76qo1YGhoPLRk,461998.000000,2017-09-23
Ae2tdPwUPEZLENzDrpj34MEBiTAYwfCDx7zrWX4fxxUuUqS8yccLtiVXpGx,461997.000000,2017-09-23
Ae2tdPwUPEZ7vUekatkqjkzBxpPuJgoguAdR2KyaMAveVLrWzFHorqAdTBC,461718.000000,2017-09-23
Ae2tdPwUPEZHDbVUvFxhKuNQxgPzcVddmtZL55VwYrmeEGQhmyqt2HrEKX4,461649.000000,2017-09-23
Ae2tdPwUPEZBsUu5XSUuM2DL5LjsTT2dWtHLWyxARsYwc7dfj7bxdc89peS,460586.000000,2017-09-23
Ae2tdPwUPEYwGqZcFLhq8wGThhyZsS2L9LhHzFmBLJr4tdFabVidEJr2PPw,460333.000000,2017-09-23
Ae2tdPwUPEZ89HgnX552vmWuxvTJdPR24P4ha97fAbhvAt85ynXhgoeVdSP,459633.000000,2017-09-23
Ae2tdPwUPEYwqDKRomnpPpF9K8Mef523uxzV5V8VqqxcbuR73hXs3Hp1Qmg,459502.000000,2017-09-23
Ae2tdPwUPEZ4eBa1uUTfBzxN7txp6riJxW5eEG2naCHe9LRZthdPDiSNaUc,459490.000000,2017-09-23
