stake_address,overlap_type,emurgo_outputs,emurgo2_outputs,emurgo_ada,emurgo2_ada
stake1u99rjlpwz9j2wcydzxgjehcp3jzmcyga80nc8e2tq73v33ghag72u,BOTH_EMURGO_SEEDS,3,3,662756.351135000000,662756.351135000000
stake1uxycsn96j88pdn0huut00lhqxmkj05xtzp99rnq7592khuszjl3zg,BOTH_EMURGO_SEEDS,1,1,645499.130631000000,645499.130631000000
stake1u8wsutjswfpms5t3uuhuqpama0wlgaw467g6pcqrh98uu8ckacl94,BOTH_EMURGO_SEEDS,33,33,638474.427403000000,638474.427403000000
stake1uyamenwgwjahtuvh6j2mm4vdqav3vaz5u337pv3vhsxqhvsk2n5je,BOTH_EMURGO_SEEDS,28,28,615732.955098000000,615732.955098000000
stake1uxg82yy49u0yv3phjf8zl3kh9ye7qrf63mfu5ufg0h74qvqjn25lk,BOTH_EMURGO_SEEDS,6,6,614246.065372000000,614246.065372000000
stake1uys63g3u8dxr84vxq8sreyvv082yphxuphlw6nlm5g3953gf0z6jw,BOTH_EMURGO_SEEDS,35,35,610860.074819000000,610860.074819000000
stake1uxvk0550c8fummae78m5lg9auhwwkwmckt5t5ahvkfzem3cfq7t9x,BOTH_EMURGO_SEEDS,27,27,610251.248087000000,610251.248087000000
stake1u9tpm4kvhqhecpg8d0vlm487nat4u4d6wevsepc367snung2lu79p,BOTH_EMURGO_SEEDS,1,1,600000.000000000000,600000.000000000000
stake1u9c0egssalk6t7yuf5xyn8amtr730lcrvyawrmazh0rm9lcgdmmfz,BOTH_EMURGO_SEEDS,1,1,593883.227084000000,593883.227084000000
stake1u89zwwc9sntxuh2e7qtjydkfdse9fv8uckzqvcg2xp6yw9gj6yp06,BOTH_EMURGO_SEEDS,1,1,590010.000000000000,590010.000000000000
stake1ux4cm90t9rus26n4sy28jj487wrwf86jhz7f7cedaune84gd6yx0s,BOTH_EMURGO_SEEDS,2,2,587107.289179000000,587107.289179000000
stake1u9zs5rhtju4teyc9krxlspgsx5plc2k0eun0tt55wh8plcqwqgjmf,BOTH_EMURGO_SEEDS,16,16,578271.329572000000,578271.329572000000
